"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
1200,44.29999999999999,29.299999999999997,89,40,9.3,39,0,17.900000000000002,40,39,11,39.599999999999994,10.6,0,0,0,17.4,0,0,0,0,0,0,10,0,0,0,0,0,0,0.4,0,0,0,0,0,0,1.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5.699999999999999,0,20.700000000000003,1.3,0,10,0,8.8,0,11,0,10,0,0,0,0,0,1.6,0
1300,44.49999999999999,27.200000000000003,88.69999999999999,40,7.199999999999999,38.9,0,17.599999999999998,40,38.699999999999996,11.3,39.599999999999994,10.700000000000001,0,0.1,0,17.6,0,0.20000000000000004,0,0,0,0,10,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1.1,0,2.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,5.5,0,22.799999999999997,2.8,0,10,0,9.1,0,11.1,0,10,0,0,0,0,0,1.2999999999999998,0
1400,45.6,28,87.30000000000001,40,8,38.1,0,16,40,37.3,12.700000000000001,39.599999999999994,11.5,0,0,0,18,0,0.8,0,0,0,0,10,0,0,0,0,0,0,0.4,0,0,0,0,0,0,1.2999999999999998,0,2.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.700000000000001,0,0,0,0,0,4.4,0,22,1.6,0,10,0,8.1,0,11.9,0,10,0,0,0,0,0,2.3000000000000003,0
1500,45.4,26.799999999999997,86.99999999999999,40,6.8,37.2,0,15.600000000000001,40,36.7,13,39.599999999999994,12.4,0,0,0,18.6,0,0.5000000000000001,0,0.09999999999999999,0,0,10,0,0,0,0,0,0,0.4,0,0,0,0,0,0,1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4.6000000000000005,0,23.200000000000003,2.5,0,10,0,7.7,0,12.8,0,10,0,0,0,0.30000000000000004,0,2.6999999999999997,0
1600,44.699999999999996,27.999999999999996,86.5,40,8,36.49999999999999,0,15.6,40,36.49999999999999,13.5,39.699999999999996,13.200000000000001,0,0.09999999999999999,0,19.5,0,0,0,0.10000000000000002,0,0,10,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.8,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,5.3,0,22.000000000000004,1.2,0,10,0,7.5,0,13.5,0,10,0,0,0,0,0,2.8,0
1700,45.1,27.799999999999997,86.1,40,7.800000000000001,35.9,0,14.8,40,35.8,13.899999999999999,39.699999999999996,13.8,0,0,0,19.8,0,0.1,0,0,0,0,10,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.899999999999999,0,0,0,0,0,4.9,0,22.200000000000003,0.5,0,10,0,7.8,0,14.100000000000001,0,10,0,0,0,0.30000000000000004,0,2.5,0
1800,46.099999999999994,26.999999999999996,85.30000000000001,40,7,35.400000000000006,0,14.1,40,35.3,14.700000000000001,39.8,14.400000000000002,0,0,0,19.6,0,0.10000000000000002,0,0,0,0,10,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,1.2000000000000002,0,2.2000000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.700000000000001,0,0,0,0,0,3.8999999999999995,0,23.000000000000004,1.2,0,10,0,7.299999999999999,0,14.6,0,10,0,0,0,0,0,2.9,0
1900,46.5,26.099999999999998,84.80000000000001,40,6.1000000000000005,35,0,12.9,40,34.8,15.200000000000003,39.8,14.8,0,0,0,20.400000000000002,0,0.20000000000000004,0,0,0,0,10,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,1.9,0,2.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.200000000000003,0,0,0,0,0,3.5,0,23.900000000000002,1.1,0,10,0,7.8,0,15,0,10,0,0,0,0,0,2.4,0
2000,45.1,26.1,83.89999999999999,40,6.1,33.8,0,12.899999999999999,40,33.70000000000001,16.099999999999998,39.8,16,0,0,0,21.8,0,0.09999999999999999,0,0,0,0,10,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.7999999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.099999999999998,0,0,0,0,0,4.9,0,23.9,1.1,0,10,0,6.7,0,16.2,0,10,0,0,0,0.19999999999999998,0,3.5,0
2100,44.2,25.5,83.7,40,5.5,33.70000000000001,0,13.4,40,33.70000000000001,16.299999999999997,39.8,16.099999999999998,0,0,0,22.2,0,0,0,0,0,0,10,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.3,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.299999999999997,0,0,0,0,0,5.8,0,24.5,1.0999999999999999,0,10,0,7.3,0,16.299999999999997,0,10,0,0,0,0,0,2.9,0
2200,45.599999999999994,25.3,83.3,40,5.3,33.4,0,12.3,40,33.300000000000004,16.7,39.8,16.400000000000002,0,0,0,21.9,0,0.10000000000000002,0,0.10000000000000002,0,0,10,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.8999999999999999,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,4.3999999999999995,0,24.7,1.3,0,10,0,6.8,0,16.6,0,10,0,0,0,0,0,3.4,0
2300,45.2,25.6,83,40,5.6000000000000005,33.099999999999994,0,12.1,40,33,17,39.8,16.7,0,0.09999999999999999,0,22.6,0,0.1,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.9,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,4.8,0,24.4,0.7,0,10,0,6.9,0,16.9,0,10,0,0,0,0,0,3.3,0
2400,45.99999999999999,24.8,82.8,40,4.8,33,0,11.299999999999999,40,32.8,17.2,39.8,16.8,0,0,0,22.5,0,0.2,0,0,0,0,10,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,1.5,0,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,4,0,25.2,0.9,0,10,0,7.3,0,17,0,10,0,0,0,0,0,2.8999999999999995,0
2500,46.300000000000004,24.8,82.5,40,4.800000000000001,32.50000000000001,0,11.399999999999999,40,32.50000000000001,17.5,39.9,17.400000000000002,0,0,0,22.2,0,0,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,1.1000000000000003,0,2.3000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,3.6999999999999997,0,25.2,0.7,0,10,0,7.1,0,17.5,0,10,0,0,0,0,0,3,0
2600,45.400000000000006,24.499999999999996,82.5,40,4.5,32.50000000000001,0,11.399999999999999,40,32.3,17.5,39.9,17.400000000000002,0,0,0,23.1,0,0.19999999999999998,0,0,0,0,10,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,0.8999999999999999,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,4.6000000000000005,0,25.500000000000004,0.8,0,10,0,7.1,0,17.5,0,10,0,0,0,0.19999999999999998,0,2.9999999999999996,0
