A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
,,,,,,,,,,,,,,,,11858.939453125,,,,,,,,14370.171875,,,,,,,,1904.1861572265625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12015.52734375,,,,,,,,14523.134765625,,,,,,,,1939.01904296875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11983.8251953125,,,,,,,,14444.234375,,,,,,,,1888.1612548828125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11880.6220703125,,,,,,,,14319.7001953125,,,,,,,,1701.4595947265625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11876.2177734375,,,,,,,,14211.9931640625,,,,,,,,1651.39990234375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11796.5390625,,,,,,,,14127.2646484375,,,,,,,,1501.3631591796875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11782.861328125,,,,,,,,13991.55078125,,,,,,,,1483.5372314453125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11758.6484375,,,,,,,,13970.8935546875,,,,,,,,1372.249755859375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11754.3330078125,,,,,,,,13897.572265625,,,,,,,,1351.2777099609375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11795.001953125,,,,,,,,13885.5498046875,,,,,,,,1250.022705078125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11704.2197265625,,,,,,,,13822.8154296875,,,,,,,,1273.5848388671875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11795.0546875,,,,,,,,13891.619140625,,,,,,,,1189.763916015625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11757.86328125,,,,,,,,13747.404296875,,,,,,,,1189.027099609375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11774.6767578125,,,,,,,,13813.91796875,,,,,,,,1153.6240234375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11777.224609375,,,,,,,,13769.2275390625,,,,,,,,1170.3741455078125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11824.9150390625,,,,,,,,13769.234375,,,,,,,,1127.2987060546875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11804.171875,,,,,,,,13724.708984375,,,,,,,,1100.86376953125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11800.11328125,,,,,,,,13754.130859375,,,,,,,,1130.7921142578125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11833.6162109375,,,,,,,,13710.302734375,,,,,,,,1103.461181640625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11851.9189453125,,,,,,,,13689.4482421875,,,,,,,,1087.6513671875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11838.2060546875,,,,,,,,13659,,,,,,,,1082.322265625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11869.4609375,,,,,,,,13748.6796875,,,,,,,,1091.17333984375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11904.87890625,,,,,,,,13620.474609375,,,,,,,,1092.675048828125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11939.572265625,,,,,,,,13743.2109375,,,,,,,,1077.5565185546875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11940.6220703125,,,,,,,,13676.56640625,,,,,,,,1079.4693603515625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12031.837890625,,,,,,,,13726.7109375,,,,,,,,1057.4058837890625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,11988.63671875,,,,,,,,13693.4208984375,,,,,,,,1087.9970703125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12128.1103515625,,,,,,,,13688.998046875,,,,,,,,1063.814453125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12147.7197265625,,,,,,,,13603.4443359375,,,,,,,,1092.6015625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12171.298828125,,,,,,,,13700.15234375,,,,,,,,1057.905517578125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12194.7060546875,,,,,,,,13701.896484375,,,,,,,,1083.09033203125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12240.4013671875,,,,,,,,13721.99609375,,,,,,,,1041.831298828125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12227.75,,,,,,,,13683.150390625,,,,,,,,1081.650146484375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12326.5888671875,,,,,,,,13700.1953125,,,,,,,,1072.3363037109375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12300.1416015625,,,,,,,,13652.158203125,,,,,,,,1083.7967529296875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12387.240234375,,,,,,,,13700.490234375,,,,,,,,1061.3502197265625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12384.458984375,,,,,,,,13651.353515625,,,,,,,,1102.92431640625,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12412.75390625,,,,,,,,13770.10546875,,,,,,,,1114.3421630859375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12489.3291015625,,,,,,,,13723.91015625,,,,,,,,1079.296875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12581.3017578125,,,,,,,,13604.1533203125,,,,,,,,1106.9764404296875,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12580.9931640625,,,,,,,,13706.77734375,,,,,,,,1061.73583984375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12586.7919921875,,,,,,,,13756.484375,,,,,,,,1091.389892578125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12576.046875,,,,,,,,13763.4736328125,,,,,,,,1104.2412109375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12611.755859375,,,,,,,,13782.3681640625,,,,,,,,1129.53125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12703.89453125,,,,,,,,13774.611328125,,,,,,,,1126.6689453125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12697.1181640625,,,,,,,,13808.412109375,,,,,,,,1174.2354736328125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12752.765625,,,,,,,,13734.1875,,,,,,,,1134.6446533203125,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12841.8046875,,,,,,,,13819.525390625,,,,,,,,1143.5179443359375,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,12805.90625,,,,,,,,13775.4931640625,,,,,,,,1174.0291748046875,,,,,,,,,,,,,,,
