A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
,,,,,,,,,,,,12883.962890625,,,,54765.984375,51793.48828125,59932.71484375,30067.23828125,17763.572265625,17819.517578125,1388.4281005859375,,35779.98828125,40261.4921875,55988.6953125,32702.11328125,,8870.7607421875,538.3148803710938,,1178.02978515625,,,5493.10791015625,,,,,-1081.587158203125,,,5811.8916015625,,,,
,,,,,,,,,,,,13091.328125,,,,57974.2734375,53770.8359375,62089.765625,34716.515625,17884.97265625,20294.265625,2904.62451171875,,39163.53125,38634.4765625,56174.98828125,34950.78515625,,9418.8544921875,1227.18994140625,,1487.1485595703125,,,3666.064453125,,,,,-289.4132385253906,,,6401.59228515625,,,,
,,,,,,,,,,,,13146.412109375,,,,58775.80078125,55918.16796875,62498.65625,34618.66796875,17914.84375,20132.212890625,2717.59912109375,,39702.234375,38388.05859375,56261.8203125,35811.4921875,,9744.177734375,1373.1915283203125,,1533.7657470703125,,,3474.157958984375,,,,,-176.04965209960938,,,6227.79345703125,,,,
,,,,,,,,,,,,13403.9599609375,,,,60584.6171875,59830.01171875,64990.16796875,34700,18066.265625,20111.2265625,1984.3465576171875,,42021.2265625,38912.46875,55689.2109375,37811.91015625,,10993.7421875,1682.175537109375,,1673.1717529296875,,,3149.343017578125,,,,,8.88531494140625,,,4623.34619140625,,,,
,,,,,,,,,,,,13443.25390625,,,,60991.39453125,60539.47265625,65990.453125,34830.6015625,18180.65625,20518.466796875,1497.534423828125,,42324.26953125,39210.71875,55772.30859375,38065.421875,,11114.9375,1727.5380859375,,1740.813232421875,,,2967.276611328125,,,,,43.939483642578125,,,4057.240478515625,,,,
,,,,,,,,,,,,14072.638671875,,,,62209.55859375,61054.2265625,70186.15625,34659.9375,19135.85546875,22045.02734375,1555.6767578125,,45219.6015625,40316.41796875,58315.83984375,41794.66796875,,11160.37109375,2180.72412109375,,1954.5291748046875,,,878.2694091796875,,,,,255.34857177734375,,,908.7490234375,,,,
,,,,,,,,,,,,14327.8828125,,,,62590.2265625,61660.4765625,70997.265625,34076.5234375,19486.482421875,22328.583984375,1669.39501953125,,46556.6484375,40588.7890625,59025.25390625,44323.3828125,,11150.8779296875,2271.74609375,,2020.135009765625,,,1222.124267578125,,,,,288.34649658203125,,,569.95068359375,,,,
,,,,,,,,,,,,15360.326171875,,,,63722.25,63734.6875,72853.125,32894.14453125,20877.658203125,23851.955078125,3657.65625,,47625.04296875,41608.52734375,62643.625,46654.203125,,11162.689453125,2561.740478515625,,2146.489501953125,,,2394.00244140625,,,,,519.0097045898438,,,1612.724609375,,,,
,,,,,,,,,,,,15591.794921875,,,,64304.8671875,65627.03125,73194.5078125,32646.197265625,21172.76171875,24102.65234375,4426.70947265625,,47273.7734375,41300.12890625,62937.09765625,47160.796875,,11141.203125,2556.592529296875,,2175.82275390625,,,2547.308349609375,,,,,559.5017700195312,,,1995.3514404296875,,,,
,,,,,,,,,,,,16411.39453125,,,,65834.640625,67817.953125,73857.8359375,33040.36328125,21866.833984375,25140.54296875,5652.7744140625,,47276.99609375,42107.06640625,65300.125,49247.7890625,,11154.662109375,2522.35009765625,,2266.903564453125,,,3817.7744140625,,,,,747.9088745117188,,,3205.9677734375,,,,
