A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
101576.703125,85703.75,61677.63671875,16359.126953125,28700.720703125,18021.900390625,,,101066.0390625,78414.8359375,65343.921875,54271.84765625,31326.8046875,26750.06640625,,,,,,,,,,,28863.69140625,22248.890625,,22699.091796875,,,,,,,,,,,,,20533.453125,26028.193359375,25959.283203125,21748.453125,,,,
101974.3671875,88442.09375,62198.59765625,16250.7373046875,29504.0859375,17978.54296875,,,99636.015625,78208.953125,64910.41015625,55105.265625,31508.92578125,27301.482421875,,,,,,,,,,,30119.5625,22142.421875,,22532.64453125,,,,,,,,,,,,,20990.05078125,25969.25,25932.93359375,21803.37109375,,,,
101862.9609375,88914.9921875,62709.91015625,16225.783203125,29928.58984375,18021.689453125,,,100216.578125,78512.2421875,64879.18359375,55493.3203125,31630.1484375,27293.18359375,,,,,,,,,,,30234.796875,22043.28515625,,22389.458984375,,,,,,,,,,,,,21083.625,25957.0625,25926.357421875,21798.732421875,,,,
101967.0390625,89376.125,62823.03515625,16231.517578125,30166.4609375,18085.685546875,,,100716.296875,78336.1484375,64611.4296875,55656.171875,31792.361328125,27253.25,,,,,,,,,,,30319.826171875,21925.75390625,,22605.96875,,,,,,,,,,,,,21169.3828125,25955.978515625,25886.634765625,21863.62109375,,,,
102047.3984375,89713.6171875,62741.93359375,16133.181640625,30390.65625,18134.5078125,,,100966.359375,78529.125,64437.8359375,56224.73046875,31843.39453125,27223.63671875,,,,,,,,,,,30381.263671875,21925.94921875,,22660.06640625,,,,,,,,,,,,,21242.630859375,25958.9140625,25877.0390625,21876.40234375,,,,
102255.0625,90121.046875,63187.90625,16152.451171875,30503.87109375,18195.25390625,,,101511.234375,78686.5,64526.859375,56381.4296875,31897.71875,27183.794921875,,,,,,,,,,,30389.81640625,21907.453125,,22653.09375,,,,,,,,,,,,,21350.4609375,25984.109375,25877.201171875,21930.998046875,,,,
102321.171875,90711.9609375,63415.53125,16190.103515625,30737.259765625,18217.7265625,,,101747.15625,78685.84375,64535.64453125,56426.84375,31950.91796875,27183.1171875,,,,,,,,,,,30483.0859375,21892.96484375,,22693.20703125,,,,,,,,,,,,,21473.91796875,25999.828125,25850.55078125,21962.83984375,,,,
102475.796875,91244.3125,63716.296875,16145.6572265625,30845.939453125,18189.54296875,,,102012.1796875,78903.828125,64365.40234375,56602.53125,32130.505859375,27161.822265625,,,,,,,,,,,30495.296875,21959.287109375,,22632.294921875,,,,,,,,,,,,,21569.423828125,26037.11328125,25817.859375,22001.474609375,,,,
102481.5078125,92038.09375,63943.8671875,16185.8671875,30955.52734375,18182.306640625,,,102135.375,78829.796875,64549.71875,56623.203125,32169.185546875,27155.625,,,,,,,,,,,30603.765625,21888.6484375,,22683.193359375,,,,,,,,,,,,,21622.580078125,26062.900390625,25779.78125,22048.54296875,,,,
102705.96875,92730.265625,64230.28515625,16147.3466796875,31056.36328125,18154.095703125,,,102462.078125,78903.296875,64561.20703125,56811.0859375,32254.55078125,27185.3359375,,,,,,,,,,,30625.587890625,21887.810546875,,22688.638671875,,,,,,,,,,,,,21721.080078125,26096.92578125,25801.98046875,22074.80859375,,,,
102784.6328125,93291.59375,64545.140625,16110.1923828125,31108.294921875,18158,,,102692.96875,78767.1328125,64631.6171875,56960.32421875,32283.35546875,27149.361328125,,,,,,,,,,,30672.734375,21856.46484375,,22671.654296875,,,,,,,,,,,,,21783.96484375,26098.470703125,25754.8828125,22080.951171875,,,,
102911.9921875,93624.8125,64789.265625,16070.890625,31191.65625,18141.73828125,,,102851.015625,79220.03125,64574.5078125,56946.83984375,32189.373046875,27083.93359375,,,,,,,,,,,30676.33984375,21925.197265625,,22629.59375,,,,,,,,,,,,,21812.201171875,26149.583984375,25748.87109375,22130.53125,,,,
103028.3125,93826.6484375,65301.7578125,16094.4560546875,31231.0859375,18107.880859375,,,103104.984375,78930.796875,64785.1171875,56859.3515625,32290.03515625,27109.50390625,,,,,,,,,,,30662.7265625,21858.666015625,,22652.96484375,,,,,,,,,,,,,21855.654296875,26159.5546875,25779.60546875,22129.17578125,,,,
103064.4921875,93607.546875,65256.0859375,16049.5556640625,31214.65234375,18072.796875,,,103021.78125,79912.15625,64544.30078125,56987.796875,32338.91015625,27082.125,,,,,,,,,,,30763.3828125,21988.78125,,22502.00390625,,,,,,,,,,,,,21921.62890625,26324.03515625,25727.482421875,22158.1953125,,,,
103135.5546875,93962.4453125,65699.9609375,16072.251953125,31275.974609375,18070.896484375,,,103324.65625,78986.34375,64430.390625,57012.5625,32314.78125,27054.203125,,,,,,,,,,,30821.1484375,21882.4375,,22572.48046875,,,,,,,,,,,,,21997.591796875,26263.5546875,25732.28125,22172.3984375,,,,
103289.3125,94114.0625,65812.5625,16029.083984375,31285.513671875,18112.755859375,,,103371.609375,79012.65625,64550.78125,57101.19140625,32374.931640625,27029.94921875,,,,,,,,,,,30876.607421875,21938.720703125,,22572.783203125,,,,,,,,,,,,,22051.0546875,26313.0390625,25844.84375,22193.96484375,,,,
103368.359375,94330.8671875,66173.15625,16100.263671875,31338.21484375,18070.5625,,,103432.4296875,79245.890625,64616.01953125,56914.625,32397.23046875,27021.69921875,,,,,,,,,,,30918.609375,21949.033203125,,22601.58203125,,,,,,,,,,,,,22088.416015625,26387.337890625,25947.8203125,22251.53125,,,,
103459.40625,94524.25,66297.4921875,16075.1796875,31423.986328125,18073.921875,,,103586.9375,79336.078125,64730.16796875,57114.0859375,32376.798828125,26972.2109375,,,,,,,,,,,30960.04296875,22007.40234375,,22582.2734375,,,,,,,,,,,,,22142.376953125,26453.109375,26092.6796875,22268.060546875,,,,
103491.578125,94620.140625,66602.984375,16071.8798828125,31435.271484375,18080.5078125,,,103484.5234375,79168.4765625,64638.5,56986.41796875,32322.8203125,26970.763671875,,,,,,,,,,,30992.732421875,22007.1171875,,22594.185546875,,,,,,,,,,,,,22174.939453125,26477.8984375,26221.654296875,22301.740234375,,,,
103453.625,94703.9609375,66828.8828125,16069.79296875,31468.83984375,18040.986328125,,,103638.3828125,79268.671875,64584.640625,57050.390625,32410.6875,26981.001953125,,,,,,,,,,,31101.2109375,22024.0234375,,22611.5625,,,,,,,,,,,,,22237.740234375,26554.650390625,26378.025390625,22334.01171875,,,,
103535.296875,94820.078125,67144.59375,16099.8310546875,31515.3671875,18067.298828125,,,103630.265625,79014.765625,64752.2578125,57067.234375,32366.775390625,26952.57421875,,,,,,,,,,,31110.744140625,22041.078125,,22674.7578125,,,,,,,,,,,,,22251.345703125,26588.6953125,26506.234375,22330.71875,,,,
103645.4375,94965.25,67442.765625,16089.5517578125,31526.421875,18036.2890625,,,103760.890625,78893.0546875,64824.34375,57045.046875,32430.11328125,26993.5625,,,,,,,,,,,31119.41796875,22087.80859375,,22670.50390625,,,,,,,,,,,,,22289.66796875,26630.5703125,26600.69140625,22373.8984375,,,,
103729.015625,95046.328125,67608.4765625,16066.4951171875,31556.28125,18056.763671875,,,103691.515625,79030.03125,64856.171875,57090.171875,32404.576171875,26966.611328125,,,,,,,,,,,31205.96484375,22050.197265625,,22716.001953125,,,,,,,,,,,,,22314.931640625,26731.7734375,26697.720703125,22407.015625,,,,
103752.4140625,95155.3984375,67940.7109375,16081.533203125,31563,18033.07421875,,,103806.265625,78969.7421875,64915.81640625,56981.171875,32377.625,26894.8046875,,,,,,,,,,,31180.90625,22150.802734375,,22710.37890625,,,,,,,,,,,,,22313.9453125,26789.640625,26797.6328125,22461.2109375,,,,
103851.125,95208.5859375,67980.875,16091.7900390625,31422.357421875,18040.4921875,,,103885.625,78948.625,64878.9296875,56875.12890625,32428.080078125,26898.94140625,,,,,,,,,,,31199.7734375,22181.478515625,,22722.30859375,,,,,,,,,,,,,22338.40625,26852.154296875,26879.125,22488.09375,,,,
103835.0546875,95248.359375,68047.03125,16045.9501953125,31440.33203125,18021.783203125,,,103828.765625,79125.75,64952.37890625,57047.859375,32418.01171875,26914.8046875,,,,,,,,,,,31226.8046875,22185.2890625,,22775.115234375,,,,,,,,,,,,,22372.751953125,26897.623046875,26917.30859375,22524.826171875,,,,
103788.234375,95296.46875,68420.234375,16083.5771484375,31451.900390625,18039.41015625,,,103861.234375,79041.609375,64999.984375,56835.36328125,32426.876953125,26905.1484375,,,,,,,,,,,31286.572265625,22218.58984375,,22765.98828125,,,,,,,,,,,,,22400.443359375,26975.83984375,27025.080078125,22524.228515625,,,,
103868.8671875,95298.96875,68184.671875,16012.0908203125,31517.802734375,18033.615234375,,,103847.96875,80001.6171875,65046.78125,56977.55859375,32420.95703125,26878.283203125,,,,,,,,,,,31340.693359375,22344.8515625,,22817.158203125,,,,,,,,,,,,,22409.03125,27182.55859375,27072.33984375,22537.03125,,,,
103871.7109375,95436.9375,68393.5078125,16031.8955078125,31479.548828125,17974.779296875,,,103830.171875,80021.859375,65153.1328125,56925.125,32399.078125,26908.84765625,,,,,,,,,,,31415.4765625,22393.927734375,,22789.328125,,,,,,,,,,,,,22446.625,27262.98046875,27162.634765625,22573.6171875,,,,
103941.9453125,95469.734375,68528.078125,16072.568359375,31499.494140625,17978.34375,,,103922.0703125,78948.3125,65082.7421875,56745.9921875,32375.638671875,26877.87890625,,,,,,,,,,,31382.365234375,22279.44921875,,22811.92578125,,,,,,,,,,,,,22477.892578125,27240.1171875,27214.091796875,22577.4921875,,,,
103954.1796875,95564.0234375,68884.125,16066.576171875,31524.833984375,17979.078125,,,103786.859375,79342.6640625,65216.03515625,56734.296875,32353.8515625,26930.736328125,,,,,,,,,,,31492.28125,22342.5703125,,22841.328125,,,,,,,,,,,,,22512.74609375,27385.82421875,27270.349609375,22631.109375,,,,
103999.640625,95473.4765625,68677.875,16005.021484375,31502.67578125,17953.56640625,,,103923.015625,80102.4296875,65170.25,56727.16796875,32416.71484375,26915.6953125,,,,,,,,,,,31500.353515625,22493.30078125,,22861.173828125,,,,,,,,,,,,,22564.392578125,27596.34375,27293.203125,22640.431640625,,,,
104005.9609375,95626.3125,69130.609375,16050.4677734375,31531.98046875,17949.37890625,,,103776.2421875,79105.4609375,65284.34375,56539.78125,32374.57421875,26866.77734375,,,,,,,,,,,31584.7734375,22530.830078125,,22910.533203125,,,,,,,,,,,,,22571.634765625,27655.853515625,27361.8203125,22676.11328125,,,,
104014.421875,95470.796875,69066.2265625,16039.63671875,31548.14453125,17953.998046875,,,103583.3671875,80086.40625,65508.52734375,56452.99609375,32415.37890625,26931.69921875,,,,,,,,,,,31652.97265625,22602.71875,,22957.48046875,,,,,,,,,,,,,22580.626953125,27855.876953125,27379.267578125,22692.47265625,,,,
103986.5625,95547.5234375,69334.3515625,16026.861328125,31537.9453125,17943.080078125,,,103596.2734375,80167.109375,65532.203125,56474.359375,32428.94140625,26963.69921875,,,,,,,,,,,31684.263671875,22728.314453125,,22993.78515625,,,,,,,,,,,,,22598.23828125,28066.966796875,27438.0234375,22674.83203125,,,,
104072.40625,95705.078125,69455.4921875,16079.029296875,31531.052734375,17915.125,,,103790.46875,80165.6171875,65459.98046875,56393.1796875,32468.013671875,26916.537109375,,,,,,,,,,,31692.359375,22757.6875,,23083.2890625,,,,,,,,,,,,,22659.265625,28149.162109375,27513.642578125,22711.91015625,,,,
104188.7578125,95856.546875,69415.78125,16043.728515625,31570.89453125,17965.623046875,,,103898.3125,79081.84375,65487.21484375,56484.93359375,32441.40625,26914.423828125,,,,,,,,,,,31645.16796875,22740.376953125,,23032.32421875,,,,,,,,,,,,,22672.421875,28141.9765625,27591.603515625,22733.9296875,,,,
