A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,,,20 nm,25850.7265625,5 nm,10554.841796875,0,3583.14880371094
32444.310546875,20352.63671875,22704.08984375,16495.08203125,13479.560546875,8648.466796875,3320.955078125,,,,,,,,,,52910.78515625,21553.44921875,24829.09765625,20722.3203125,-5230.44970703125,10087.1142578125,2901.74389648437,,,,,,,,,,,,,,,,,,34220.4296875,23834.15625,30464.541015625,21492.3046875,21467.18359375,10634.00390625,6423.2666015625,,,,,26532.87109375,,9777.3681640625,,3114.00158691406
32760.814453125,20371.12109375,22866.119140625,16467.990234375,13509.689453125,8678.8251953125,3316.953125,,,,,,,,,,54366.69140625,21605.943359375,25107,20653.794921875,-5239.4912109375,10063.6416015625,2911.05004882812,,,,,,,,,,,,,,,,,,34181.43359375,23754.984375,30272.271484375,21423.3125,21360.115234375,10589.6376953125,6428.24169921875,,,,,26585.8583984375,,9758.720703125,,3095.44653320313
33069.69140625,20366.0625,23132.46484375,16527.396484375,13556.419921875,8676.3310546875,3313.72338867187,,,,,,,,,,55818.6953125,21556.75390625,25342.287109375,20621.083984375,-5222.96533203125,10027.140625,2877.16967773438,,,,,,,,,,,,,,,,,,34115.8359375,23666.7890625,30199.623046875,21370.8125,21265.87890625,10572.6904296875,6411.42822265625,,,,,26581.494140625,,9758.94173177083,,3094.38806152344
33386.28515625,20421.552734375,23259.05078125,16544.158203125,13580.7890625,8710.021484375,3314.58422851562,,,,,,,,,,57185.8125,21269.607421875,25572.05859375,20550.740234375,-5220.763671875,9996.2734375,2874.19189453125,,,,,,,,,,,,,,,,,,34072.25390625,23693.447265625,30039.251953125,21225.328125,21194.8359375,10570.5302734375,6419.70068359375,,,,,26647.5,,9748.13606770833,,3119.39990234375
33630.4921875,20405.55078125,23426.109375,16510.6796875,13570.32421875,8707.400390625,3316.8720703125,,,,,,,,,,58407.2890625,21234.12890625,25793.19140625,20496.61328125,-5216.7353515625,9986.2626953125,2921.927734375,,,,,,,,,,,,,,,,,,34056.171875,23618.390625,29903.9375,21160.193359375,21105.5703125,10550.7451171875,6393.20458984375,,,,,26696.4306640625,,9736.01627604167,,3100.65161132812
33853.140625,20415.361328125,23606.9140625,16537.12890625,13614.5556640625,8719.2958984375,3312.05493164062,,,,,,,,,,59532.3359375,21215.876953125,26012.59375,20511.8828125,-5204.26025390625,9947.515625,2889.24829101562,,,,,,,,,,,,,,,,,,34021.76171875,23600.24609375,29868.890625,21098.86328125,21040.578125,10541.2373046875,6395.1875,,,,,26698.69921875,,9739.93619791667,,3089.44665527344
34098.2265625,20405.861328125,23714.3046875,16551.203125,13651.2744140625,8747.7158203125,3290.78979492188,,,,,,,,,,60733.21484375,21267.671875,26142.921875,20459.75390625,-5194.73681640625,9936.4775390625,2888.103515625,,,,,,,,,,,,,,,,,,33915.48828125,23545.48828125,29785.947265625,20999.9765625,20994.783203125,10535.615234375,6405.2685546875,,,,,26717.369140625,,9732.02213541667,,3118.97229003906
34366.57421875,20413.896484375,23840.45703125,16535.9765625,13683.59765625,8732.640625,3329.97802734375,,,,,,,,,,61901.68359375,21271.265625,26300.583984375,20433.4375,-5202,9938.744140625,2907.96655273438,,,,,,,,,,,,,,,,,,33877.01953125,23511.578125,29683.09375,20967.26171875,20899.16796875,10524.681640625,6394.44140625,,,,,26767.091796875,,9724.38932291667,,3137.47717285156
34553.6328125,20398.529296875,23963.46484375,16543.23046875,13717.060546875,8752.1708984375,3343.92333984375,,,,,,,,,,62939.75390625,21652.279296875,26490.625,20409.859375,-5199.8349609375,9900.5439453125,2931.03100585937,,,,,,,,,,,,,,,,,,33842.75,23359.544921875,29594.28125,20909.359375,20879.818359375,10520.453125,6410.71533203125,,,,,26783.6376953125,,9734.56087239583,,3132.75183105469
34745.7265625,20404.24609375,24134.73046875,16603.57421875,13735.4130859375,8786.67578125,3323.45532226562,,,,,,,,,,63910.1796875,21678.67578125,26634.08203125,20389.625,-5210.1611328125,9889.876953125,2942.04833984375,,,,,,,,,,,,,,,,,,33803.78515625,23321.734375,29570.71875,20878.51953125,20860.51171875,10527.1298828125,6401.42431640625,,,,,26772.498046875,,9742.60579427083,,3161.89624023437
34893.01171875,20439.341796875,24186.51171875,16585.09765625,13750.322265625,8796.5107421875,3366.92602539062,,,,,,,,,,64894.1015625,21252.3359375,26770.046875,20360.048828125,-5201.20654296875,9914.72265625,2956.86645507812,,,,,,,,,,,,,,,,,,33816.890625,23352.5625,29432.544921875,20832.01171875,20786.34375,10516.583984375,6411.48095703125,,,,,26792.5126953125,,9742.12239583333,,3161.03039550781
35090.71875,20437.0546875,24265.61328125,16578.748046875,13772.54296875,8792.8603515625,3358.04345703125,,,,,,,,,,65772.96875,21229.083984375,26823.314453125,20352.89453125,-5204.302734375,9912.5947265625,2964.01733398437,,,,,,,,,,,,,,,,,,33761.74609375,23324.2265625,29358.484375,20771.03125,20749.318359375,10520.912109375,6442.9345703125,,,,,26793.69140625,,9738.98274739583,,3143.7685546875
35235.75,20396.2734375,24396.3671875,16597.98046875,13806.3740234375,8824.8154296875,3344.98974609375,,,,,,,,,,66521.1875,21630.17578125,26977.1640625,20343.3203125,-5196.5458984375,9880.5732421875,2942.54736328125,,,,,,,,,,,,,,,,,,33772.8046875,23191.28125,29319.412109375,20723.328125,20712.318359375,10511.5595703125,6428.53955078125,,,,,26797.865234375,,9744.87760416667,,3156.42883300781
35398.953125,20458.716796875,24432.5546875,16608.1328125,13836.197265625,8838.7265625,3356.66162109375,,,,,,,,,,67484.421875,21303.83203125,26975.982421875,20303.283203125,-5190.564453125,9888.767578125,2956.19604492187,,,,,,,,,,,,,,,,,,33706.08203125,23206.49609375,29191.015625,20674.548828125,20707.021484375,10507.138671875,6440.50048828125,,,,,26815.330078125,,9739.70930989584,,3201.95153808594
35566.6328125,20416.912109375,24525.89453125,16623.677734375,13865.41015625,8855.03125,3390.42822265625,,,,,,,,,,68285.1171875,21638.990234375,27135.537109375,20314.015625,-5199.77685546875,9866.1640625,3013.47485351562,,,,,,,,,,,,,,,,,,33651.953125,23065.06640625,29163.17578125,20648.919921875,20674.5234375,10497.9326171875,6469.74462890625,,,,,26862.32421875,,9746.57747395833,,3201.31188964844
35725.06640625,20397.765625,24653.294921875,16646.080078125,13884.4296875,8865.2646484375,3372.0947265625,,,,,,,,,,69145.125,21662.4140625,27201.50390625,20334.380859375,-5199.43798828125,9879.9482421875,3030.52905273438,,,,,,,,,,,,,,,,,,33634.43359375,23035.2265625,29104.765625,20608.857421875,20639.5546875,10494.51953125,6489.0087890625,,,,,26856.37109375,,9746.33951822917,,3217.02978515625
35827.3984375,20408.30859375,24660.470703125,16605.9921875,13917.41796875,8881.52734375,3404.22119140625,,,,,,,,,,70061.7578125,21596.505859375,27320.130859375,20311.89453125,-5176.12744140625,9859.0361328125,3029.83837890625,,,,,,,,,,,,,,,,,,33619.41796875,23013.89453125,29071.353515625,20588.251953125,20689.076171875,10498.455078125,6464.54833984375,,,,,26888.9306640625,,9761.81868489583,,3235.59875488281
35946.078125,20417.04296875,24787.0625,16660.076171875,13934.6748046875,8891.3701171875,3424.43994140625,,,,,,,,,,70792.421875,21609.578125,27405.41015625,20303.431640625,-5181.5654296875,9875.509765625,3046.75756835937,,,,,,,,,,,,,,,,,,33573.640625,22980.01953125,29052.271484375,20561.876953125,20684.87109375,10518.576171875,6523.97509765625,,,,,26879.291015625,,9787.41829427083,,3249.77514648437
36082.6875,20446.796875,24800.005859375,16587.3828125,13986.7880859375,8920.8447265625,3433.06640625,,,,,,,,,,71504.828125,21191.052734375,27461.646484375,20270.576171875,-5183.5947265625,9913.3701171875,3066.48388671875,,,,,,,,,,,,,,,,,,33558.78125,23018.90625,28990.798828125,20541.6953125,20633.912109375,10528.0400390625,6508.69921875,,,,,26892.138671875,,9786.47688802083,,3269.25012207031
36166.20703125,20429.7734375,24894.34765625,16670.029296875,14008.43359375,8943.68359375,3444.70434570312,,,,,,,,,,72198.875,21663.69140625,27587.587890625,20315.1796875,-5207.70751953125,9893.873046875,3093.7958984375,,,,,,,,,,,,,,,,,,33515.09375,22872.35546875,28958.576171875,20512.123046875,20657.0234375,10521.8740234375,6543.61181640625,,,,,26868.8779296875,,9800.8076171875,,3288.42956542969
36302.7421875,20426.509765625,24902.107421875,16659.76953125,14070.078125,8954.0322265625,3453.79467773437,,,,,,,,,,72769.015625,21636.68359375,27628.796875,20238.5390625,-5189.47509765625,9896.333984375,3123.064453125,,,,,,,,,,,,,,,,,,33491.46875,22844.013671875,28889.9296875,20485.228515625,20670.77734375,10552.056640625,6565.40087890625,,,,,26887.314453125,,9811.80598958333,,3288.28527832031
36406.5859375,20436.197265625,24961.625,16646.361328125,14079.607421875,8991.7373046875,3476.78833007812,,,,,,,,,,73524.5546875,21663.8046875,27729.517578125,20280.59765625,-5164.94921875,9895.4052734375,3099.7822265625,,,,,,,,,,,,,,,,,,33430.37109375,22810.064453125,28835.6484375,20467.185546875,20620.962890625,10548.275390625,6592.44189453125,,,,,26886.681640625,,9811.8642578125,,3302.40100097656
36451.015625,20454.330078125,25004.38671875,16678.177734375,14129.2216796875,9005.119140625,3475.35693359375,,,,,,,,,,74228.359375,21299.8359375,27748.46875,20249.8515625,-5153.3740234375,9877.4365234375,3129.44506835937,,,,,,,,,,,,,,,,,,33396.55859375,22869.583984375,28813.00390625,20450.58984375,20603.62109375,10553.037109375,6622.916015625,,,,,26921.447265625,,9814.86067708333,,3302.30126953125
