,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
12,30911.412109375,23137.48828125,24286.1953125,16441.45703125,6903.1650390625,,-5931.76708984375,47499.765625,34916.33984375,24068.04296875,22790.408203125,15759.65625,3072.42822265625,,,,,,,,,,,9839.0615234375,,,,,,,6365.97705078125,,,7722.61181640625,,,,,,6409.53173828125,,,,,,,5431.234375
13,30849.55078125,23106.837890625,24243.384765625,16457.818359375,6927.34716796875,,-5933.880859375,47650.6640625,34847.36328125,24196.75,22885.326171875,15803.556640625,3116.72241210937,,,,,,,,,,,9887.947265625,,,,,,,6415.43603515625,,,7778.43310546875,,,,,,6446.51123046875,,,,,,,5442.4326171875
14,30873.056640625,23114.912109375,24262.087890625,16475.0078125,6939.88427734375,,-5918.865234375,47889.3125,35012.09375,24373.04296875,22817.498046875,15888.85546875,3153.85302734375,,,,,,,,,,,9928.5908203125,,,,,,,6429.75146484375,,,7789.8779296875,,,,,,6490.66064453125,,,,,,,5500.345703125
15,30857.69921875,23139.13671875,24201.072265625,16500.255859375,6984.794921875,,-5908.16552734375,47949.921875,34965.5625,24548.810546875,22808.67578125,15963.771484375,3175.68408203125,,,,,,,,,,,9992.482421875,,,,,,,6479.50732421875,,,7846.6015625,,,,,,6544.95654296875,,,,,,,5542.4794921875
16,30848.037109375,23122.81640625,24176.298828125,16476.98046875,6981.21337890625,,-5901.1533203125,48081.046875,35012.20703125,24719.59375,22832.306640625,15994.712890625,3216.09814453125,,,,,,,,,,,10006.052734375,,,,,,,6552.0517578125,,,7891.07421875,,,,,,6545.6015625,,,,,,,5568.3681640625
17,30828.89453125,23108.578125,24125.0078125,16497.54296875,7008.0185546875,,-5880.75927734375,48065.6171875,34945.0546875,24875.0859375,22813.546875,16041.69921875,3245.564453125,,,,,,,,,,,10063.57421875,,,,,,,6586.62890625,,,7901.69580078125,,,,,,6584.08056640625,,,,,,,5625.9912109375
18,30807.65234375,23122.931640625,24113.828125,16518.8359375,7044.3603515625,,-5247.509765625,48059.0625,34953.55078125,25033.212890625,22852.046875,16059.638671875,3274.5751953125,,,,,,,,,,,10106.9345703125,,,,,,,6618.14794921875,,,7945.6123046875,,,,,,6602.3408203125,,,,,,,5663.5244140625
19,30799.73046875,23137.01171875,24130.2734375,16523.99609375,7057.056640625,,-5234.1455078125,48265.89453125,34841.46875,25155.6015625,22833.6796875,16116.79296875,3321.95190429687,,,,,,,,,,,10165.009765625,,,,,,,6656.5927734375,,,7979.70361328125,,,,,,6645.72802734375,,,,,,,5696.89404296875
20,30800.04296875,23141.857421875,24099.517578125,16502.974609375,7074.53564453125,,-5236.28271484375,48294.87890625,34760.859375,25275.802734375,22844.41796875,16153.931640625,3337.08715820313,,,,,,,,,,,10189.365234375,,,,,,,6716.6337890625,,,8047.9404296875,,,,,,6664.369140625,,,,,,,5766.4150390625
21,30730.798828125,23114.67578125,24106.439453125,16532.681640625,7111.91650390625,,-5224.220703125,48293.2890625,34714.515625,25387.880859375,22800.994140625,16199.40625,3378.34545898437,,,,,,,,,,,10204.810546875,,,,,,,6730.21240234375,,,8057.91796875,,,,,,6689.52685546875,,,,,,,5783.39208984375
