A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
113413.734375,94721.359375,77612.8203125,57752.875,34030.24609375,13674.125,,,95681.171875,96628.03125,77111.8984375,54072.328125,33649.71875,11456.7548828125,,,,,,,,,,,939.0421752929688,2160.614501953125,1707.520751953125,7473.09619140625,-3037.995849609375,,,,,,,,,,,,5663.3994140625,2829.193115234375,3500.41650390625,5392.10205078125,998.8753051757812,-4230.23486328125,,
113935.7578125,95066.140625,77747.1875,57813.30859375,34414.27734375,13832.87890625,,,96554.5625,98838.8046875,79177.3984375,54686.453125,34419.73828125,12313.318359375,,,,,,,,,,,1062.5186767578125,2540.505126953125,2158.059326171875,8226.841796875,-2976.274658203125,,,,,,,,,,,,5973.5390625,2857.92236328125,3505.4296875,5501.2490234375,1226.3154296875,-4167.98046875,,
114113,95108.0703125,77750.46875,57878.8828125,34454.18359375,13879.40234375,,,96672.421875,99263.203125,79163.21875,54831.0859375,34523.99609375,12423.6044921875,,,,,,,,,,,1038.1728515625,2550.48388671875,2175.3330078125,8366.865234375,-2933.496826171875,,,,,,,,,,,,6012.72705078125,2864.12353515625,3494.94384765625,5486.5556640625,1243.3565673828125,-4156.990234375,,
114196.71875,95218.296875,77828.421875,57946.7265625,34713.52734375,13975.5205078125,,,97310.140625,100308.7734375,80576.9296875,55254.296875,35078.640625,12947.8291015625,,,,,,,,,,,1307.525634765625,2805.997314453125,2581.61083984375,9083.412109375,-2906.93603515625,,,,,,,,,,,,6231.7490234375,2859.63720703125,3503.142578125,5565.44189453125,1347.234375,-4133.1142578125,,
114314.84375,95301.953125,77785.2265625,57966.890625,34795.16796875,13969.212890625,,,97558.953125,100589.109375,80593.6328125,55374.37109375,35145.7734375,13018.130859375,,,,,,,,,,,1299.03857421875,2902.64453125,2719.330322265625,9282.31640625,-2875.07275390625,,,,,,,,,,,,6241.2421875,2863.307373046875,3469.00830078125,5569.28076171875,1349.615478515625,-4158.1572265625,,
114349.671875,95495.578125,77833.2578125,58114.828125,35034.74609375,14057.7265625,,,98106.046875,101521.296875,81490.4375,55761.1484375,35276.66015625,13255.3515625,,,,,,,,,,,1530.07177734375,3119.996337890625,3078.16845703125,9763.9765625,-2860.409423828125,,,,,,,,,,,,6354.2421875,2852.31689453125,3496.06298828125,5617.76806640625,1426.884521484375,-4125.97900390625,,
114484.53125,95435.2109375,77879.75,58178.9296875,35187.11328125,14063.376953125,,,98353.7890625,100337.0078125,81496.1953125,55817.3125,35230.79296875,13461.591796875,,,,,,,,,,,1623.59521484375,3260.77880859375,3108.12939453125,9904.583984375,-2862.50537109375,,,,,,,,,,,,6327.7314453125,2837.371337890625,3508.36962890625,5637.47998046875,1391.599365234375,-4110.822265625,,
114406.90625,95649.03125,77887.1640625,58163.40625,35198.4140625,14124.01171875,,,99435.171875,102296.7890625,82011.9140625,56311.1484375,35528.71875,13644.0458984375,,,,,,,,,,,1938.1136474609375,3400.258544921875,3350.67333984375,10321.150390625,-2852.3916015625,,,,,,,,,,,,6330.86865234375,2900.781005859375,3470.156982421875,5709.77783203125,1483.212646484375,-4086.5703125,,
114585.34375,95611.75,77889.9375,58169.14453125,35283.41796875,14157.189453125,,,99647.2890625,102203.84375,81816.125,56396.4375,35513.3203125,13627.3876953125,,,,,,,,,,,1929.9248046875,3441.72802734375,3329.13623046875,10378.6845703125,-2874.620361328125,,,,,,,,,,,,6291.623046875,2898.69384765625,3479.947509765625,5721.96484375,1526.818603515625,-4072.29833984375,,
114478.3359375,95576.640625,78061.734375,58230.4375,35351.6953125,14220.0966796875,,,100354.6796875,101148.859375,82098.1953125,56606.46875,35756.73046875,13871.1396484375,,,,,,,,,,,2113.9716796875,3487.1240234375,3412.712646484375,10676.3701171875,-2848.881103515625,,,,,,,,,,,,6226.12353515625,2908.867919921875,3490.571533203125,5774.76953125,1577.5517578125,-4023.568359375,,
114623.1171875,95506.625,78323.5703125,58301.2421875,35358.84375,14212.02734375,,,100555.46875,101282.765625,82097.9375,56671.6875,35723.8671875,13835.2216796875,,,,,,,,,,,2110.8134765625,3521.686279296875,3365.364013671875,10741.6611328125,-2854.14208984375,,,,,,,,,,,,6230.33935546875,2912.142578125,3488.65283203125,5799.24365234375,1582.336181640625,-4023.8505859375,,
114599.03125,95620.546875,77906.5703125,58120.90625,35424.625,14312.408203125,,,101126.3671875,102519.328125,82289.8125,57083.31640625,35928.17578125,13998.248046875,,,,,,,,,,,2177.971435546875,3619.898681640625,3701.66650390625,11019.951171875,-2822.7138671875,,,,,,,,,,,,6235.27978515625,2985.478271484375,3523.958984375,5966.30859375,1622.027099609375,-4015.7119140625,,
