"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
0,50,50,100,50,30,50,20,30,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,44.1,33.5,98.80000000000001,33.900000000000006,13.5,49.3,1.1,26.5,31.1,48.6,1.2,32.89999999999999,0,0,0.20000000000000004,0,8.900000000000002,0,0.7,0,0.3,0,0,16.099999999999998,0,0,0,0,0,0,0.5000000000000001,0,0,0,0,0,0,1.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.2,0,0,0,0,0,5.8999999999999995,0,16.5,4.6000000000000005,0,16.099999999999998,0,10.9,0,0.7,0,18.9,2.4999999999999996,0,0,0.20000000000000004,0,6.199999999999999,0
200,42.900000000000006,31.1,97.7,32.699999999999996,11.1,48.2,0.4,25.4,30.4,47.6,2.3,31.700000000000003,1.1,0,0,0,11,0,0.6,0,0.20000000000000004,0,0,17.3,0,0,0,0,0,0,0.7,0,0,0,0,0,0,2,0,3.3000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,2.3,0,0,0,0,0,7.1000000000000005,0,18.9,4.6000000000000005,0,17.3,0,12.4,0,1.8,0,19.6,2,0,0,0.09999999999999999,0,5.9,0
300,42.099999999999994,27.4,95.5,30.700000000000003,7.4,46.199999999999996,0,23.2,30,45.199999999999996,4.5,30,3.1,0,0,0,14,0,1,0,0,0,0,19.299999999999997,0,0,0,0,0,0,0.7,0,0,0,0,0,0,2,0,3.8999999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,7.8999999999999995,0,22.6,4.7,0,19.299999999999997,0,13.8,0,3.8,0,20,0.7,0,0,0.3,0,6.2,0
400,43,27.4,93.1,30.1,7.4,43.4,0.1,19.900000000000002,30.1,42.9,6.9,29.599999999999998,6.1000000000000005,0,0,0,16.6,0,0.5,0,0,0,0,19.9,0,0,0,0,0,0,0.49999999999999994,0,0,0,0,0,0,2.9999999999999996,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,7,0,22.6,2.5,0,19.9,0,13.5,0,6.6000000000000005,0,19.9,0,0,0,0.20000000000000004,0,6.9,0
500,43.1,27.1,90.40000000000002,30.1,7.099999999999999,40.5,0,17.499999999999996,30,40.300000000000004,9.6,29.8,9.200000000000001,0,0,0,19.099999999999998,0,0.20000000000000004,0,0.2,0,0,19.9,0,0,0,0,0,0,0.3,0,0,0,0,0,0,2.6,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,6.9,0,22.9,0.8999999999999999,0,19.9,0,12.399999999999999,0,9.5,0,20,0.1,0,0,0.1,0,7.800000000000001,0
600,43.1,24.9,88.30000000000001,30,4.9,38.400000000000006,0,16.4,30,38,11.7,29.700000000000003,11.3,0,0.10000000000000002,0,20.3,0,0.39999999999999997,0,0.2,0,0,20,0,0,0,0,0,0,0.20000000000000004,0,0,0,0,0,0,1.4,0,3.1000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0,6.9,0,25.1,1.7000000000000002,0,20,0,11.5,0,11.6,0,20,0,0,0,0.3,0,8.8,0
700,42.5,23.5,86.3,30,3.5,36.5,0,14.7,30,36,13.7,29.8,13.3,0,0,0,22.6,0,0.5000000000000001,0,0.10000000000000002,0,0,20,0,0,0,0,0,0,0.20000000000000004,0,0,0,0,0,0,1.2,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,0,0,7.5,0,26.5,1.1,0,20,0,11.5,0,13.5,0,20,0,0,0,0.30000000000000004,0,8.7,0
800,44.599999999999994,24,85,30,3.9999999999999996,35.099999999999994,0,13.6,30,35.00000000000001,15,29.9,14.799999999999999,0,0,0,21.700000000000003,0,0.10000000000000002,0,0.10000000000000002,0,0,20,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.3,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5.3999999999999995,0,26,0.5,0,20,0,10.5,0,14.9,0,20,0,0,0,0,0,9.6,0
900,43.8,22.8,83.5,30,2.8,33.69999999999999,0,12.1,30,33.400000000000006,16.499999999999996,29.9,16.2,0,0,0,23.999999999999996,0,0.30000000000000004,0,0.20000000000000004,0,0,20,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.1,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.499999999999996,0,0,0,0,0,6.2,0,27.2,0.39999999999999997,0,20,0,10.100000000000001,0,16.3,0,20,0,0,0,0.10000000000000002,0,10,0
1000,43.9,22.9,82.8,30,2.9,32.800000000000004,0,12,30,32.800000000000004,17.2,29.9,17.099999999999998,0,0,0,24,0,0,0,0,0,0,20,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.8,0,2.7999999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,6.1,0,27.1,0.30000000000000004,0,20,0,9.7,0,17.2,0,20,0,0,0,0,0,10.4,0
1100,45.2,22.8,82.6,30,2.8,32.800000000000004,0,10.9,30,32.6,17.4,29.9,17.099999999999998,0,0.10000000000000002,0,23.9,0,0.19999999999999998,0,0.39999999999999997,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2999999999999998,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,4.8,0,27.2,0.39999999999999997,0,20,0,9.1,0,17.2,0,20,0,0,0,0,0,11,0
1200,44.900000000000006,22.9,82.2,30,2.8999999999999995,32.3,0,10.3,30,32,17.8,29.9,17.6,0,0,0,24.700000000000003,0,0.3,0,0,0,0,20,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.7,0,2.0000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0,0,5.1000000000000005,0,27.1,0.4,0,20,0,8.8,0,17.7,0,20,0,0,0,0.19999999999999998,0,11.3,0
1300,45.099999999999994,22.5,81.60000000000001,30,2.5,31.700000000000003,0,10.5,30,31.6,18.4,29.9,18.200000000000003,0,0.10000000000000002,0,24.400000000000002,0,0.09999999999999999,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0999999999999999,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,4.8999999999999995,0,27.5,0.7,0,20,0,8.5,0,18.299999999999997,0,20,0,0,0,0,0,11.600000000000001,0
1400,45.199999999999996,21.599999999999998,81.39999999999999,30,1.6,31.500000000000004,0,10.200000000000001,30,31.4,18.6,29.9,18.400000000000002,0,0,0,24.499999999999996,0,0.10000000000000002,0,0.39999999999999997,0,0,20,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.8,0,3.1999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,4.8,0,28.400000000000002,0.7,0,20,0,8.799999999999999,0,18.499999999999996,0,20,0,0,0,0,0,11.3,0
1500,45.6,22.599999999999998,80.9,30,2.6000000000000005,31.1,0,9,30,30.900000000000002,19.099999999999998,29.9,18.8,0,0,0,25.3,0,0.19999999999999998,0,0,0,0,20,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.9000000000000004,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.099999999999998,0,0,0,0,0,4.400000000000001,0,27.400000000000002,0.39999999999999997,0,20,0,8,0,18.9,0,20,0,0,0,0,0,12.1,0
1600,44.699999999999996,22,80.39999999999999,30,2,30.599999999999998,0,9.6,30,30,19.6,29.9,19.3,0,0,0,25.6,0,0.6,0,0,0,0,20,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.4000000000000001,0,1.7000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,0,0,0,0,0,5.3,0,28,0.7000000000000002,0,20,0,7.4,0,19.400000000000002,0,20,0,0,0,0.4,0,12.700000000000001,0
1700,44.8,21.9,79.60000000000001,30,1.9,29.7,0,8.6,30,29.599999999999998,20.400000000000002,29.9,20.200000000000003,0,0,0,26.5,0,0.09999999999999999,0,0,0,0,20,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.9999999999999999,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.400000000000002,0,0,0,0,0,5.2,0,28.1,0.39999999999999997,0,20,0,7.4,0,20.3,0,20,0,0,0,0,0,12.7,0
1800,45.89999999999999,21.4,79.39999999999999,30,1.4,29.4,0,8.5,30,29.4,20.6,29.9,20.5,0,0.10000000000000002,0,25.6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,2.8999999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,4.1,0,28.6,0.10000000000000002,0,20,0,7.999999999999999,0,20.6,0,20,0,0,0,0,0,12.1,0
1900,44.400000000000006,21.3,79.2,30,1.3,29.1,0,8.899999999999999,30,29.1,20.8,29.9,20.8,0,0,0,26.599999999999998,0,0,0,0,0,0,20,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0,5.599999999999999,0,28.7,0.09999999999999999,0,20,0,7.8,0,20.9,0,20,0,0,0,0.09999999999999999,0,12.3,0
2000,44.699999999999996,21,78.8,30,1,28.900000000000002,0,8.6,30,28.700000000000003,21.2,30,21.099999999999998,0,0,0,26.7,0,0.2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09999999999999999,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,5.3,0,29,0.19999999999999998,0,20,0,7.5,0,21.099999999999998,0,20,0,0,0,0.1,0,12.5,0
2100,45.1,21.2,78.5,30,1.2,28.400000000000002,0,8.1,30,28.400000000000002,21.5,30,21.599999999999998,0,0,0,26.8,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,4.9,0,28.8,0.3,0,20,0,6.9,0,21.599999999999998,0,20,0,0,0,0.10000000000000002,0,13.1,0
2200,44.9,21.3,78.19999999999999,30,1.3,28.2,0,7.900000000000001,30,28.2,21.8,30,21.8,0,0,0,27.2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,5.1,0,28.7,0,0,20,0,6.9,0,21.8,0,20,0,0,0,0,0,13.1,0
2300,46.4,21.8,78.19999999999999,30,1.8,28.2,0,8.1,30,28.2,21.8,30,21.8,0,0,0,25.5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000002,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,3.6000000000000005,0,28.2,0,0,20,0,6.3999999999999995,0,21.8,0,20,0,0,0,0,0,13.599999999999998,0
2400,45.8,21.700000000000003,78.19999999999999,30,1.7,28.1,0,7.9,30,28.1,21.8,30,21.9,0,0,0,26.299999999999997,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999998,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,4.199999999999999,0,28.299999999999997,0.5,0,20,0,5.9,0,21.9,0,20,0,0,0,0.09999999999999999,0,14.1,0
2500,45.7,21.299999999999997,78.1,30,1.2999999999999998,28.1,0,7.800000000000001,30,28.1,21.9,30,21.9,0,0,0,26.5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000000000000004,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,0,0,0,0,0,4.300000000000001,0,28.700000000000003,0.3,0,20,0,6.5,0,21.9,0,20,0,0,0,0,0,13.5,0
2600,45.7,21.4,78,30,1.4,28,0,7.7,30,28,22,30,22,0,0,0,26.6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000000000000004,0,1.7000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,4.3,0,28.6,0.3,0,20,0,6.3,0,22,0,20,0,0,0,0,0,13.700000000000001,0
