"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
660,42.6,23.4,86.10000000000001,25.1,3.4000000000000004,36.3,0.09999999999999999,14.3,25.1,36,13.9,24.2,12.8,0,0.09999999999999999,0,22.299999999999997,0,0.30000000000000004,0,0.10000000000000002,0,0,24.9,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1.6,0,3.6999999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,0,0,7.4,0,26.6,0.6,0,24.9,0,12.8,0,13.700000000000001,0,24.9,0,0,0,0.10000000000000002,0,13,0
720,43.7,23.3,85.60000000000001,25.1,3.3,35.699999999999996,0.09999999999999999,14,25.1,35.5,14.4,24.299999999999997,13.5,0,0,0,21.5,0,0.2,0,0,0,0,24.9,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1.5,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,6.3,0,26.7,0.5,0,24.9,0,12.5,0,14.3,0,24.9,0,0,0,0.10000000000000002,0,13.2,0
780,43.1,23.8,85,25.1,3.8,35.300000000000004,0,13.2,25,34.99999999999999,15,24.299999999999997,13.900000000000002,0,0,0,22.9,0,0.3,0,0.19999999999999998,0,0,24.9,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1.5999999999999999,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6.9,0,26.2,0.39999999999999997,0,24.9,0,11.4,0,14.700000000000001,0,25,0.09999999999999999,0,0,0,0,14.299999999999999,0
840,43.199999999999996,23.4,84.6,25,3.4,34.9,0,13.1,25,34.6,15.4,24.299999999999997,14.4,0,0,0,22.999999999999996,0,0.3,0,0,0,0,25,0,0,0,0,0,0,0.7,0,0,0,0,0,0,1.5,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,6.799999999999999,0,26.6,0.7999999999999999,0,25,0,11.1,0,15.1,0,25,0,0,0,0,0,14.6,0
900,42.4,22.6,84.10000000000001,25,2.5999999999999996,34.4,0,12.4,25,34,15.9,24.299999999999997,14.9,0,0,0,24.5,0,0.39999999999999997,0,0.10000000000000002,0,0,25,0,0,0,0,0,0,0.7,0,0,0,0,0,0,1.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,7.599999999999999,0,27.4,0.4000000000000001,0,25,0,11.6,0,15.600000000000001,0,25,0,0,0,0.10000000000000002,0,14.1,0
960,42.9,22.2,83.39999999999999,25,2.2,34,0,11.700000000000001,25,33.400000000000006,16.6,24.299999999999997,15.3,0,0,0,24.699999999999996,0,0.6,0,0.09999999999999999,0,0,25,0,0,0,0,0,0,0.7,0,0,0,0,0,0,1.6,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,7.1000000000000005,0,27.8,0.39999999999999997,0,25,0,11.4,0,16,0,25,0,0,0,0,0,14.3,0
1020,43.1,22,83.10000000000001,25,2,33.1,0,11.6,25,32.8,16.9,24.299999999999997,16.200000000000003,0,0,0,24.6,0,0.3,0,0.09999999999999999,0,0,25,0,0,0,0,0,0,0.7,0,0,0,0,0,0,1.1,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,6.9,0,28,0.5,0,25,0,10.9,0,16.9,0,25,0,0,0,0.3,0,14.799999999999999,0
1080,43.9,22.6,82.6,25,2.5999999999999996,32.699999999999996,0,11.299999999999999,25,32.5,17.4,24.4,16.699999999999996,0,0.09999999999999999,0,24.299999999999997,0,0.20000000000000004,0,0.10000000000000002,0,0,25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.1,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,6.1,0,27.4,0.4,0,25,0,10,0,17.299999999999997,0,25,0,0,0,0.10000000000000002,0,15.600000000000001,0
1140,44.300000000000004,22.900000000000002,82.39999999999999,25,2.9000000000000004,32.6,0,11.1,25,32.3,17.600000000000005,24.4,16.8,0,0.09999999999999999,0,24.1,0,0.30000000000000004,0,0.10000000000000002,0,0,25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.600000000000005,0,0,0,0,0,5.7,0,27.099999999999998,0.5,0,25,0,9.4,0,17.400000000000002,0,25,0,0,0,0.09999999999999999,0,16.2,0
1200,44,22.4,81.7,25,2.4000000000000004,31.800000000000004,0,10.4,25,31.6,18.299999999999997,24.4,17.6,0,0,0,25,0,0.19999999999999998,0,0,0,0,25,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.2000000000000002,0,2.3000000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.299999999999997,0,0,0,0,0,6,0,27.6,0.30000000000000004,0,25,0,9.5,0,18.2,0,25,0,0,0,0.09999999999999999,0,16.1,0
1260,43.599999999999994,22.700000000000003,81.39999999999999,25,2.6999999999999997,31.4,0,10.499999999999998,25,31.4,18.6,24.4,17.999999999999996,0,0,0,25.299999999999997,0,0,0,0,0,0,25,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.9000000000000001,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,6.3999999999999995,0,27.299999999999997,0.1,0,25,0,9.2,0,18.6,0,25,0,0,0,0,0,16.4,0
1320,44.70000000000001,22,81.2,25,2,31.1,0,10.5,25,31.1,18.8,24.4,18.299999999999997,0,0,0,24.2,0,0,0,0.09999999999999999,0,0,25,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.5,0,3.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,5.299999999999999,0,28,0.10000000000000002,0,25,0,9.500000000000002,0,18.9,0,25,0,0,0,0.10000000000000002,0,16.1,0
1380,44.300000000000004,21.2,80.89999999999999,25,1.2,30.8,0,10.1,25,30.700000000000003,19.1,24.5,18.7,0,0,0,25.1,0,0,0,0.1,0,0,25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.6,0,3.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5.7,0,28.8,0.30000000000000004,0.10000000000000002,25,0,9.7,0,19.2,0,25,0,0,0,0.20000000000000004,0,15.8,0
1440,43.9,21.2,80.39999999999999,25,1.2000000000000002,30.6,0,9.700000000000001,25,30.299999999999997,19.6,24.5,18.9,0,0.09999999999999999,0,25.999999999999996,0,0.09999999999999999,0,0.20000000000000004,0,0,25,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.6,0,2.6999999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0,0,6.1,0,28.8,0.10000000000000002,0.20000000000000004,25,0,9.5,0,19.4,0,25,0,0,0,0.10000000000000002,0,16,0
1500,44.8,21.5,79.8,25,1.5,30.5,0,9.200000000000001,25,29.700000000000003,20.2,24.6,19.1,0,0,0,25.6,0,0.39999999999999997,0,0,0,0,25,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.9,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.799999999999997,0,0,0,0,0,5.200000000000001,0,28.5,0.20000000000000004,0.39999999999999997,25,0,8.8,0,19.5,0,25,0,0,0,0.09999999999999999,0,16.6,0
1560,45.2,21.3,79.6,25,1.3,30.200000000000003,0,8.7,25,29.6,20.4,24.6,19.4,0,0,0,25.7,0,0.20000000000000004,0,0,0,0,25,0,0,0,0,0,0,0.4,0,0,0,0,0,0,1.2999999999999998,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4.800000000000001,0,28.7,0.30000000000000004,0.39999999999999997,25,0,8.8,0,19.799999999999997,0,25,0,0,0,0,0,16.6,0
1620,44.1,21,79.5,25,1.0000000000000002,29.9,0,9.3,25,29.5,20.5,24.6,19.699999999999996,0,0,0,26.2,0,0,0,0,0,0,25,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.6000000000000001,0,2.5999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0,0,0,0,0,5.9,0,29,0.19999999999999998,0.39999999999999997,25,0,9.1,0,20.1,0,25,0,0,0,0,0,16.299999999999997,0
1680,43.8,20.8,79.39999999999998,25,0.8,29.9,0,8.899999999999999,25,29.4,20.6,24.6,19.699999999999996,0,0,0,26.9,0,0.10000000000000002,0,0.20000000000000004,0,0,25,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.7,0,2.1999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.200000000000003,0,0,0,0,0,6.199999999999999,0,29.2,0.10000000000000002,0.39999999999999997,25,0,9.1,0,20.1,0,25,0,0,0,0,0,16.299999999999997,0
1740,44.5,21.1,79.20000000000002,25,1.1,29.700000000000003,0,8.9,25,29.2,20.8,24.6,19.9,0,0,0,26.200000000000003,0,0.09999999999999999,0,0.10000000000000002,0,0,25,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.6,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,0,0,0,0,0,5.5,0,28.9,0,0.39999999999999997,25,0,8.799999999999999,0,20.299999999999997,0,25,0,0,0,0,0,16.6,0
1800,44.9,21.299999999999997,79,25,1.2999999999999998,29.5,0,8.6,25,29,21,24.6,20.099999999999998,0,0.10000000000000002,0,26.2,0,0.10000000000000002,0,0,0,0,25,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.8,0,2.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,5.1000000000000005,0,28.700000000000003,0.09999999999999999,0.39999999999999997,25,0,8.400000000000002,0,20.5,0,25,0,0,0,0,0,16.999999999999996,0
1860,45.1,21.099999999999998,78.5,25,1.0999999999999999,29,0,8.200000000000001,25,28.5,21.5,24.7,20.700000000000003,0,0,0,26.4,0,0.09999999999999999,0,0.10000000000000002,0,0,25,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,2.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1,0,0,0,0,0,4.9,0,28.900000000000002,0.10000000000000002,0.39999999999999997,25,0,7.9,0,21,0,25,0,0,0,0,0,17.4,0
1920,45.900000000000006,20.8,77.8,25,0.8,28.5,0,7.6000000000000005,25,27.8,22.2,24.7,21.2,0,0.1,0,26.3,0,0.3,0,0,0,0,25,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.6000000000000001,0,2.6000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,4.1,0,29.2,0.3,0.39999999999999997,25,0,7.3999999999999995,0,21.5,0,25,0,0,0,0,0,17.9,0
1980,45.5,21.1,77.8,25,1.1,28.1,0,7.4,25,27.7,22.2,24.7,21.6,0,0.1,0,26.900000000000002,0,0,0,0,0,0,25,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.7,0,1.8000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,4.5,0,28.9,0.20000000000000004,0.39999999999999997,25,0,7.1,0,21.9,0,25,0,0,0,0.10000000000000002,0,18.200000000000003,0
2040,45.50000000000001,21.1,77.60000000000001,25,1.1,27.9,0,7.3,25,27.5,22.400000000000002,24.7,21.799999999999997,0,0,0,26.9,0,0,0,0,0,0,25,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.999999999999996,0,0,0,0,0,4.5,0,28.9,0.20000000000000004,0.39999999999999997,25,0,6.9,0,22.1,0,25,0,0,0,0.10000000000000002,0,18.400000000000002,0
2100,45.599999999999994,21.2,77.3,25,1.2,27.7,0,7.3,25,27.299999999999997,22.700000000000003,24.7,22.000000000000004,0,0.09999999999999999,0,26.9,0,0,0,0,0,0,25,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.4,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0,0,0,0,0,4.3999999999999995,0,28.8,0.20000000000000004,0.39999999999999997,25,0,6.6,0,22.3,0,25,0,0,0,0,0,18.7,0
2160,45.5,21.6,77.10000000000001,25,1.6,27.499999999999996,0,6.8999999999999995,25,27.1,22.9,24.7,22.2,0,0,0,27.299999999999997,0,0,0,0,0,0,25,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.500000000000004,0,0,0,0,0,4.5,0,28.4,0.10000000000000002,0.39999999999999997,25,0,6.1,0,22.500000000000004,0,25,0,0,0,0,0,19.2,0
2220,46.099999999999994,21.2,77.00000000000001,25,1.2000000000000002,27.400000000000002,0,6.8,25,27,23,24.7,22.300000000000004,0,0,0,26.8,0,0,0,0,0,0,25,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.599999999999998,0,0,0,0,0,3.8999999999999995,0,28.8,0.10000000000000002,0.39999999999999997,25,0,6.4,0,22.599999999999998,0,25,0,0,0,0,0,18.9,0
2280,46.599999999999994,21,76.9,25,1,27.299999999999997,0,6.9,25,26.799999999999997,23.1,24.7,22.4,0,0,0,26.2,0,0.09999999999999999,0,0,0,0,25,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,2.5999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.700000000000003,0,0,0,0,0,3.4000000000000004,0,29,0.19999999999999998,0.39999999999999997,25,0,6.3,0,22.700000000000003,0,25,0,0,0,0.09999999999999999,0,19,0
2340,45.9,21.2,76.69999999999999,25,1.2000000000000002,27.2,0,6.9,25,26.7,23.3,24.7,22.5,0,0,0,26.900000000000002,0,0.10000000000000002,0,0,0,0,25,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.20000000000000004,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.900000000000002,0,0,0,0,0,4.1,0,28.8,0,0.39999999999999997,25,0,6.2,0,22.8,0,25,0,0,0,0,0,19.1,0
