"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
0,50,50,100,50,30,50,15,30,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,46.6,37.5,99.89999999999998,43.4,17.5,50,3.8,29.9,38.8,49.9,0.10000000000000002,42.8,0,0,0,0,3.4,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.10000000000000002,0,0,0.10000000000000002,0,0,3.4,0,12.5,8.1,0,6.6,0,4.4,0,0,0,11.2,4.099999999999999,0,0,0,0,2.8,0
120,44.3,34.099999999999994,99.89999999999998,38.199999999999996,14.1,49.699999999999996,0.5,28.1,35.49999999999999,49.6,0.10000000000000002,37.7,0.20000000000000004,0,0,0,7.5,0,0.10000000000000002,0,0.1,0,0,11.8,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.4,0,1.8999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0.39999999999999997,0,0.10000000000000002,0,0,0,0,0,5.7,0,15.899999999999999,6.500000000000001,0,11.8,0,9.000000000000002,0,0.30000000000000004,0,14.5,2.3,0,0,0.30000000000000004,0,3.3000000000000003,0
180,43.4,32.5,99,36,12.5,49.1,0.3,26.199999999999996,35.300000000000004,48.6,1,35.900000000000006,0.8,0,0,0,10.299999999999999,0,0.49999999999999994,0,0,0,0,14,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,2.4000000000000004,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.6000000000000005,0,17.5,5.1000000000000005,0,14,0,11.1,0,0.8999999999999999,0,14.7,0.7,0,0,0.39999999999999997,0,3,0
240,41.699999999999996,31.099999999999998,98.30000000000001,35.2,11.100000000000001,48.3,0.20000000000000004,25.700000000000003,35.2,47.8,1.7,35.1,1.6,0,0,0,12.5,0,0.49999999999999994,0,0.10000000000000002,0,0,14.8,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,2,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,8.3,0,18.900000000000002,4.2,0,14.8,0,12.5,0,1.7,0,14.8,0,0,0,0.5,0,2.4000000000000004,0
300,43,30.8,97.1,35,10.800000000000002,47.3,0,23.799999999999997,35,46.7,2.9,34.9,2.5999999999999996,0,0,0,13.1,0,0.6,0,0.1,0,0,15,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,2.8,0,3.0999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,7,0,19.2,3,0,15,0,12.899999999999999,0,2.6999999999999997,0,15,0,0,0,0.4000000000000001,0,2.2,0
360,43.50000000000001,31,96.2,35,11,46.2,0,22,35,45.1,3.8,34.9,3.6999999999999993,0,0,0,14.399999999999999,0,1.1,0,0.7,0,0,15,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,2.4000000000000004,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,6.5,0,19,3,0,15,0,10.5,0,3.8,0,15,0,0,0,1.1,0,4.6000000000000005,0
420,42.6,29.9,93.19999999999999,35,9.9,44.2,0,22,35,43.2,6.8,34.9,5.7,0,0,0,15.3,0,1,0,0.19999999999999998,0,0,15,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1,0,2.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,7.4,0,20.1,2.4,0,15,0,10.8,0,5.800000000000001,0,15,0,0,0,0,0,4.3,0
480,44.2,28.700000000000003,92.8,35,8.7,43.1,0,19.900000000000002,35,42.8,7.2,34.9,6.8,0,0,0,15.8,0,0.3,0,0,0,0,15,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,2.9,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,5.8,0,21.299999999999997,2.8,0,15,0,11.4,0,6.9,0,15,0,0,0,0,0,3.6999999999999993,0
540,44.2,29.099999999999998,92.6,35,9.1,42.6,0,19.900000000000002,35,42.1,7.4,34.9,7.3,0,0,0,15.8,0,0.5,0,0,0,0,15,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,2.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,5.800000000000001,0,20.900000000000002,2.1,0,15,0,11,0,7.4,0,15,0,0,0,0.5,0,4.1,0
