"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
0,50,50,100,50,30,50,2,30,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,49.4,42.3,99.8,48.8,22.300000000000004,49.8,0.7999999999999999,29.8,48.8,49.8,0.19999999999999998,48.6,0,0,0,0,0.6,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0,0,0.39999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0.6,0,7.699999999999999,6.699999999999999,0,1.2,0,1,0,0.19999999999999998,0,1.2,0,0,0,0,0,0.4,0
200,48.8,37.30000000000001,99.8,48.300000000000004,17.3,49.8,0,29.5,48,49.8,0.19999999999999998,48.1,0,0,0,0,1.5,0,0,0,0,0,0,1.7000000000000002,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.30000000000000004,0,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,1.2000000000000002,0,12.7,11,0,1.7000000000000002,0,1.7000000000000002,0,0.19999999999999998,0,2,0.30000000000000004,0,0,0,0,0.20000000000000004,0
300,48.2,37.699999999999996,99.8,48,17.7,49.8,0,29.4,48,49.8,0.19999999999999998,47.8,0,0,0,0,2.2000000000000006,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,1.7999999999999998,0,12.3,10.100000000000001,0,2,0,2.2000000000000006,0,0.19999999999999998,0,2,0,0,0,0,0,0,0
400,48.3,38.099999999999994,99.8,48,18.1,49.8,0,29.299999999999997,48,49.8,0.19999999999999998,47.8,0,0,0,0,2.2000000000000006,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,1.7,0,11.9,9.7,0,2,0,2.2000000000000006,0,0.19999999999999998,0,2,0,0,0,0,0,0,0
500,48.8,36.8,99.8,48,16.8,49.8,0,28.8,48,49.8,0.19999999999999998,47.8,0,0,0,0,2.2000000000000006,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,1.2000000000000002,0,13.200000000000001,11,0,2,0,2.2000000000000006,0,0.19999999999999998,0,2,0,0,0,0,0,0,0
600,48.8,37,99,48,16.999999999999996,49.5,0,28.5,48,49,1,47.8,0.30000000000000004,0,0,0,2.5,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.2000000000000002,0,13,10.000000000000002,0,2,0,2.2000000000000006,0,0.5,0,2,0,0,0,0,0,0,0
700,47.9,36.7,98.2,48,16.7,48.2,0,28.1,48,48.2,1.7999999999999998,47.8,1.6,0,0,0,3.7999999999999994,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7999999999999998,0,0,0,0,0,2.1,0,13.299999999999999,9.5,0,2,0,2.2000000000000006,0,1.7999999999999998,0,2,0,0,0,0,0,0,0
800,48.3,37.5,98.2,48,17.5,48.2,0,27.9,48,48.2,1.7999999999999998,47.8,1.6,0,0,0,3.5999999999999996,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.30000000000000004,0,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7999999999999998,0,0,0,0,0,1.7,0,12.5,8.7,0,2,0,2.2000000000000006,0,1.7999999999999998,0,2,0,0,0,0,0,0,0
900,49.5,37.2,97.89999999999998,48,17.2,47.9,0,26.5,48,47.9,2.1000000000000005,47.8,1.9,0,0,0,3.7999999999999994,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,1.4,0,0.30000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1000000000000005,0,0,0,0,0,0.5,0,12.8,8.7,0,2,0,2.2000000000000006,0,2.1000000000000005,0,2,0,0,0,0,0,0,0
1000,49.2,36,97.89999999999998,48,16,47.9,0,26.5,48,47.9,2.1000000000000005,47.8,1.9,0,0,0,4.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1000000000000005,0,0,0,0,0,0.7999999999999999,0,14,9.9,0,2,0,2.2000000000000006,0,2.1000000000000005,0,2,0,0,0,0,0,0,0
1100,48.300000000000004,35.5,97.89999999999998,48,15.5,47.9,0,27.4,48,47.9,2.1000000000000005,47.8,1.9,0,0,0,4.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1000000000000005,0,0,0,0,0,1.7000000000000002,0,14.5,10.400000000000002,0,2,0,2.2000000000000006,0,2.1000000000000005,0,2,0,0,0,0,0,0,0
1200,48.5,36.4,97.7,48,16.4,47.7,0,27.5,48,47.7,2.3000000000000003,47.8,2.1000000000000005,0,0,0,3.8,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.19999999999999998,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3000000000000003,0,0,0,0,0,1.5,0,13.600000000000001,9.3,0,2,0,2.2000000000000006,0,2.3000000000000003,0,2,0,0,0,0,0,0,0
1300,49.3,37.8,97.7,48,17.8,47.7,0,26.2,48,47.7,2.3000000000000003,47.8,2.1000000000000005,0,0,0,4.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3000000000000003,0,0,0,0,0,0.7,0,12.2,7.8999999999999995,0,2,0,2.2000000000000006,0,2.3000000000000003,0,2,0,0,0,0,0,0,0
1400,48.5,36.300000000000004,97.5,48,16.3,47.5,0,27,48,47.5,2.5,47.8,2.3000000000000003,0,0,0,4.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,1.5,0,13.700000000000001,9.4,0,2,0,2,0,2.5,0,2,0,0,0,0,0,0.19999999999999998,0
1500,48.5,36.699999999999996,97.30000000000001,48,16.7,47.3,0,27,48,47.3,2.6999999999999997,47.8,2.5,0,0,0,4.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.30000000000000004,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6999999999999997,0,0,0,0,0,1.5,0,13.3,8.7,0,2,0,2.1000000000000005,0,2.6999999999999997,0,2,0,0,0,0,0,0.09999999999999999,0
1600,48.300000000000004,36.199999999999996,97,48,16.2,47,0,26.700000000000003,48,47,3,47.8,2.7999999999999994,0,0,0,4.8,0,0,0,0,0,0,2,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,0.30000000000000004,0,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.7000000000000002,0,13.8,8.799999999999999,0,2,0,2.2000000000000006,0,3,0,2,0,0,0,0,0,0,0
