"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
0,50,50,100,50,30,50,15,30,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,46.3,38.4,99.1,40.4,18.400000000000002,49.2,4.699999999999999,27.099999999999998,39.7,49.1,0.9,39.4,0,0,0,0,5.8,0,0.09999999999999999,0,0.09999999999999999,0,0,9.6,0,0,0,0,0,0,0.7999999999999999,0,0,0,0,0,0,1.9000000000000001,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.20000000000000004,0,0.9,0,0,0,0,0,3.6999999999999997,0,11.6,3.599999999999999,0,9.6,0,7.8,0,0.7999999999999999,0,10.3,0.5000000000000001,0,0,0,0,2.7999999999999994,0
200,43.8,32.5,98.2,35.9,12.5,48.5,0.2,25.5,35.2,48.099999999999994,1.8,34.9,0.7,0,0.20000000000000004,0,10.1,0,0.39999999999999997,0,0.19999999999999998,0,0,14.1,0,0,0,0,0,0,0.6,0,0,0,0,0,0,2.4,0,2.8000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999998,0,1.8,0,0,0,0,0,6.199999999999999,0,17.5,4.6000000000000005,0,14.1,0,11.6,0,1.4999999999999998,0,14.8,0.5,0,0,0.10000000000000002,0,3.5,0
300,42.2,31,96.19999999999999,35.1,11,47,0.10000000000000002,24.1,35.1,46,3.8000000000000007,34.29999999999999,2.2,0,0.20000000000000004,0,13.1,0,1,0,0.1,0,0,14.9,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.7999999999999998,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8000000000000007,0,0,0,0,0,7.799999999999999,0,19,3.3000000000000003,0,14.9,0,12.399999999999999,0,3,0,14.9,0,0,0,0.2,0,3.3,0
400,41.400000000000006,30.3,94.8,35,10.299999999999999,45.1,0,22,35,44.300000000000004,5.200000000000001,34.29999999999999,4.199999999999999,0,0,0,15.9,0,0.8,0,0,0,0,15,0,0,0,0,0,0,0.7,0,0,0,0,0,0,2.3000000000000003,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.200000000000001,0,0,0,0,0,8.6,0,19.7,2.4000000000000004,0,15,0,12.3,0,4.9,0,15,0,0,0,0.5000000000000001,0,3.4000000000000004,0
500,42.8,27.5,92.60000000000001,35,7.5,42.7,0,19.8,35,42.1,7.399999999999999,34.29999999999999,6.6,0,0,0,16.7,0,0.6,0,0,0,0,15,0,0,0,0,0,0,0.7,0,0,0,0,0,0,2.3000000000000007,0,2.3000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.399999999999999,0,0,0,0,0,7.199999999999999,0,22.5,3.5000000000000004,0,15,0,11.8,0,7.299999999999999,0,15,0,0,0,0.5,0,3.9,0
600,44.300000000000004,27.5,91.2,35,7.5,41.8,0,18.1,35,40.8,8.799999999999999,34.400000000000006,7.6000000000000005,0,0.10000000000000002,0,17.099999999999998,0,1,0,0,0,0,15,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2.6999999999999997,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.799999999999999,0,0,0,0,0,5.7,0,22.5,2.6999999999999997,0,15,0,11.2,0,8.200000000000001,0,15,0,0,0,0.39999999999999997,0,4.4,0
700,42.900000000000006,27.5,89.9,35,7.5,40.2,0,17.799999999999997,35,39.400000000000006,10.100000000000001,34.400000000000006,9.200000000000003,0,0,0,18.7,0,0.7999999999999999,0,0.09999999999999999,0,0,15,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.5,0,2.0000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.100000000000001,0,0,0,0,0,7.1,0,22.5,1.7999999999999998,0,15,0,10.6,0,9.8,0,15,0,0,0,0.5,0,5,0
800,43.3,27,88.9,35,6.999999999999999,38.9,0,17,35,38.400000000000006,11.099999999999998,34.400000000000006,10.499999999999998,0,0,0,19.099999999999998,0,0.5,0,0.3,0,0,15,0,0,0,0,0,0,0.6,0,0,0,0,0,0,1.1,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.099999999999998,0,0,0,0,0,6.7,0,23,1.7,0,15,0,10,0,11.100000000000001,0,15,0,0,0,0.5,0,5.600000000000001,0
900,42.699999999999996,25.5,86.7,35,5.5,37,0,15.5,35,36.6,13.3,34.50000000000001,12.5,0,0,0,21.3,0,0.4000000000000001,0,0,0,0,15,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.1,0,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,7.3,0,24.5,1.4,0,15,0,10.2,0,13,0,15,0,0,0,0.09999999999999999,0,5.3,0
