"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
0,50,50,100,50,30,50,25,30,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,46.099999999999994,39.099999999999994,99.6,38.699999999999996,19.1,49.60000000000001,11.1,27.7,36.1,49.3,0.39999999999999997,38.1,0.09999999999999999,0,0,0,5.8999999999999995,0,0.3,0,0,0,0,11.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1.5999999999999999,0,2.0999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0.30000000000000004,0,0.39999999999999997,0,0,0,0,0,3.9,0,10.9,2.9,0,11.3,0,7.6000000000000005,0,0.39999999999999997,0,13.9,2.3000000000000003,0,0,0.3,0,4.3,0
200,42.2,30,98,28.700000000000003,10,48.5,1,24.4,25.999999999999996,47.9,1.9999999999999998,27.9,1.2,0,0,0,13.1,0,0.6,0,0.09999999999999999,0,0,21.299999999999997,0,0,0,0,0,0,0.3,0,0,0,0,0,0,3.4,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1.9999999999999998,0,0,0,0,0,7.8,0,20,3.4000000000000004,0,21.299999999999997,0,14.700000000000001,0,1.5,0,24.000000000000004,2.1999999999999997,0,0,0.1,0,7.400000000000001,0
300,41.1,27.9,95.5,26.200000000000003,7.9,46.1,0.09999999999999999,22.5,25.1,45.10000000000001,4.5,25.9,3.7000000000000006,0,0,0,16.2,0,1,0,0.09999999999999999,0,0,23.799999999999997,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,2.5,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000002,0,4.5,0,0,0,0,0,8.9,0,22.1,2.2,0,23.799999999999997,0,15.099999999999998,0,3.9,0,24.9,1,0,0,0.4,0,9,0
400,41.4,27.299999999999997,93.10000000000001,25.6,7.3,43.4,0,21.4,25,42.7,6.9,25.3,6.3999999999999995,0,0,0,17,0,0.7,0,0,0,0,24.4,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,1.3,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000002,0,6.9,0,0,0,0,0,8.6,0,22.700000000000003,1.2,0,24.4,0,14.399999999999999,0,6.6,0,25,0.5,0,0,0.4,0,10.3,0
500,42.4,25.7,91.4,25,5.700000000000001,42.1,0,18.7,25,41.39999999999999,8.6,24.8,7.7,0,0.10000000000000002,0,18.8,0,0.7,0,0.19999999999999998,0,0,25,0,0,0,0,0,0,0.09999999999999999,0,0,0,0,0,0,2.5,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,7.6,0,24.3,1.4,0,25,0,14.300000000000002,0,7.9,0,25,0,0,0,0,0,10.9,0
600,42.2,23.8,89.9,25,3.8,40,0,18,25,39.8,10.099999999999998,24.8,9.799999999999999,0,0,0,19.6,0,0.20000000000000004,0,0,0,0,25,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,1.7999999999999998,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.099999999999998,0,0,0,0,0,7.8,0,26.2,2.1,0,25,0,14.100000000000001,0,10,0,25,0,0,0,0.09999999999999999,0,11.1,0
700,41.39999999999999,24.7,89.30000000000001,25,4.7,39.4,0,17.1,25,39.300000000000004,10.7,24.8,10.4,0,0,0,21.300000000000004,0,0.09999999999999999,0,0.19999999999999998,0,0,25,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,2,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,8.6,0,25.3,0.8,0,25,0,13.799999999999999,0,10.6,0,25,0,0,0,0,0,11.4,0
800,42.6,24.800000000000004,88.10000000000001,25,4.800000000000001,38.300000000000004,0,15.9,25,38,11.9,24.8,11.5,0,0,0,21.299999999999997,0,0.30000000000000004,0,0,0,0,25,0,0,0,0,0,0,0.19999999999999998,0,0,0,0,0,0,2.0999999999999996,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,7.4,0,25.199999999999996,1,0,25,0,12.399999999999999,0,11.7,0,25,0,0,0,0.10000000000000002,0,12.8,0
900,43.699999999999996,24.2,87.3,25,4.2,37.6,0,15.4,25,37.300000000000004,12.699999999999998,24.8,12.2,0,0.09999999999999999,0,20.800000000000004,0,0.3,0,0.19999999999999998,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.7000000000000002,0,4.3999999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.699999999999998,0,0,0,0,0,6.300000000000001,0,25.8,0.6,0,25,0,12.5,0,12.4,0,25,0,0,0,0,0,12.7,0
1000,42.300000000000004,23.4,86.4,25,3.4,36.8,0,14.999999999999998,25,36.300000000000004,13.6,24.8,13,0,0.09999999999999999,0,22.6,0,0.5,0,0.10000000000000002,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.2,0,3.4000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,0,0,0,7.7,0,26.6,0.6,0,25,0,12.400000000000002,0,13.2,0,25,0,0,0,0.10000000000000002,0,12.799999999999999,0
1100,43.400000000000006,23.599999999999998,84.8,25,3.6,35.099999999999994,0,13.4,25,34.699999999999996,15.2,24.9,14.8,0,0,0,23.099999999999998,0,0.39999999999999997,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.2999999999999998,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,6.6000000000000005,0,26.400000000000002,0.8,0,25,0,10.4,0,14.9,0,25,0,0,0,0.10000000000000002,0,14.699999999999998,0
1200,42.9,22.700000000000003,84.10000000000002,25,2.6999999999999997,34.39999999999999,0,13,25,33.99999999999999,15.9,24.9,15.5,0,0,0,24,0,0.39999999999999997,0,0.19999999999999998,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.7999999999999999,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,7.1,0,27.299999999999997,0.7,0,25,0,10.5,0,15.6,0,25,0,0,0,0.09999999999999999,0,14.6,0
1300,44.1,21.5,83.6,25,1.5000000000000002,34.00000000000001,0,11.500000000000002,25,33.400000000000006,16.4,24.9,15.899999999999999,0,0,0,24.3,0,0.6,0,0.09999999999999999,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.8,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,5.9,0,28.5,0.6,0,25,0,11.299999999999999,0,16,0,25,0,0,0,0.20000000000000004,0,13.8,0
1400,44.300000000000004,22.2,82.7,25,2.2,33.3,0,11.999999999999998,25,32.7,17.299999999999997,24.9,16.6,0,0,0,23.600000000000005,0,0.6,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.7,0,4.1000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.299999999999997,0,0,0,0,0,5.7,0,27.8,0.10000000000000002,0,25,0,10.5,0,16.7,0,25,0,0,0,0,0,14.600000000000001,0
1500,44.699999999999996,22.1,82.5,25,2.1,32.60000000000001,0,11.9,25,32.400000000000006,17.5,24.9,17.299999999999997,0,0,0,23.299999999999997,0,0.20000000000000004,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.5,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,5.300000000000001,0,27.9,0.8,0,25,0,9.6,0,17.4,0,25,0,0,0,0.10000000000000002,0,15.499999999999998,0
1600,45,22.099999999999998,81.60000000000001,25,2.1,32,0,10.8,25,31.6,18.4,24.9,17.9,0,0,0,24.099999999999998,0,0.4,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.8,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,5,0,27.900000000000002,0.7000000000000002,0,25,0,8.9,0,18,0,25,0,0,0,0,0,16.2,0
1700,44.8,22.8,81.4,25,2.8,31.4,0,10.8,25,31.4,18.6,24.9,18.5,0,0,0,24.299999999999997,0,0,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.6,0,2.6999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,5.2,0,27.2,0.19999999999999998,0,25,0,8.500000000000002,0,18.6,0,25,0,0,0,0,0,16.6,0
1800,45.599999999999994,22.9,81.2,25,2.9,31.2,0,10.5,25,31.1,18.8,24.9,18.700000000000003,0,0,0,23.8,0,0.10000000000000002,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,4.4,0,27.1,0.3,0,25,0,8,0,18.8,0,25,0,0,0,0.10000000000000002,0,17.1,0
1900,46,22,80.30000000000001,25,2,30.4,0,9.2,25,30.2,19.700000000000003,24.9,19.5,0,0,0,24.7,0,0.19999999999999998,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.9999999999999999,0,3.0000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.700000000000003,0,0,0,0,0,3.9999999999999996,0,28,0.3,0,25,0,7.999999999999999,0,19.6,0,25,0,0,0,0.10000000000000002,0,17.1,0
2000,45.2,21.2,79.99999999999999,25,1.2,30.1,0,9.1,25,30,20,24.9,19.8,0,0,0,25.599999999999998,0,0.09999999999999999,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.8999999999999999,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4.800000000000001,0,28.8,0.3,0,25,0,8.6,0,19.9,0,25,0,0,0,0,0,16.5,0
2100,45.8,21.4,79.7,25,1.4,29.700000000000003,0,8.7,25,29.6,20.299999999999997,24.9,20.2,0,0,0,25.400000000000002,0,0.10000000000000002,0,0.09999999999999999,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.7999999999999999,0,2.9999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.299999999999997,0,0,0,0,0,4.2,0,28.6,0.19999999999999998,0,25,0,8,0,20.299999999999997,0,25,0,0,0,0.10000000000000002,0,17.1,0
2200,44.8,21.3,79.39999999999999,25,1.3,29.300000000000004,0,8.5,25,29.300000000000004,20.6,24.9,20.6,0,0,0,26.6,0,0,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,5.199999999999999,0,28.7,0.10000000000000002,0,25,0,8,0,20.699999999999996,0,25,0,0,0,0.10000000000000002,0,17.1,0
2300,46.2,21.4,79.1,25,1.4,29.199999999999996,0,8.299999999999999,25,29.099999999999998,20.900000000000002,24.9,20.699999999999996,0,0,0,25.400000000000002,0,0.09999999999999999,0,0.09999999999999999,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.7,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.900000000000002,0,0,0,0,0,3.8,0,28.6,0.09999999999999999,0,25,0,7.6,0,20.800000000000004,0,25,0,0,0,0,0,17.5,0
2400,45.9,21.3,78.7,25,1.2999999999999998,28.8,0,7.6,25,28.700000000000003,21.299999999999997,24.9,21.099999999999998,0,0,0,26.4,0,0.09999999999999999,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.299999999999997,0,0,0,0,0,4.1,0,28.7,0.19999999999999998,0,25,0,7.3,0,21.2,0,25,0,0,0,0,0,17.8,0
2500,46.1,21.1,78.7,25,1.1,28.700000000000003,0,7.7,25,28.700000000000003,21.299999999999997,24.9,21.2,0,0,0,26.099999999999998,0,0,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.299999999999997,0,0,0,0,0,3.9,0,28.9,0,0,25,0,7.700000000000001,0,21.299999999999997,0,25,0,0,0,0,0,17.400000000000002,0
2600,45.8,21.5,78.7,25,1.5,28.700000000000003,0,8,25,28.700000000000003,21.299999999999997,24.9,21.2,0,0,0,26.099999999999998,0,0,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.299999999999997,0,0,0,0,0,4.2,0,28.5,0.4,0,25,0,6.9,0,21.299999999999997,0,25,0,0,0,0,0,18.2,0
2700,46.7,21.300000000000004,78.7,25,1.3,28.700000000000003,0,7.2,25,28.700000000000003,21.299999999999997,24.9,21.2,0,0,0,26.000000000000004,0,0,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,1.5000000000000002,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.299999999999997,0,0,0,0,0,3.3000000000000003,0,28.699999999999996,0.19999999999999998,0,25,0,7.300000000000001,0,21.299999999999997,0,25,0,0,0,0,0,17.8,0
2800,44.900000000000006,20.9,78.7,25,0.8999999999999999,28.6,0,7.7,25,28.6,21.299999999999997,24.9,21.299999999999997,0,0,0,27.299999999999997,0,0,0,0,0,0,25,0,0,0,0,0,0,0.10000000000000002,0,0,0,0,0,0,0.9,0,1.7000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.299999999999997,0,0,0,0,0,5.1000000000000005,0,29.1,0.09999999999999999,0,25,0,7.7,0,21.4,0,25,0,0,0,0.10000000000000002,0,17.400000000000002,0
