"Time ",TRR,TAA,REPORTER,NTB,JOIN,ITC,INPUT,FORK,DTG,CTB,C,BTD,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56,sp57,sp58,sp59,sp60,sp61,sp62,sp63,sp64,sp65,sp66,sp67,sp68,sp69,sp70,sp71,sp72,sp73,sp74,sp75,sp76,sp77,sp78,sp79
0,50,50,100,50,30,50,5,30,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,48.4,41.5,99.4,47.6,21.5,49.5,1.5,29.200000000000003,46.5,49.300000000000004,0.6,46.800000000000004,0,0,0,0,1.7,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.6,0,0,0.19999999999999998,0,0,1.6,0,8.5,5.8,0,2.4,0,2.7,0,0.5,0,3.5,1,0,0,0.09999999999999999,0,0.5,0
120,47.300000000000004,36.3,99.4,45.9,16.299999999999997,49.5,0,28.9,45,49.300000000000004,0.6,45,0,0,0,0,3.1,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.4,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.19999999999999998,0,0.6,0,0,0.19999999999999998,0,0,2.7,0,13.7,9.5,0,4.1,0,4.2,0,0.5,0,5,0.7,0,0,0.09999999999999999,0,0.8,0
180,46.9,36.5,99.09999999999998,45.2,16.5,49.1,0,27.6,45,49.1,0.8999999999999999,44.4,0.20000000000000004,0,0.3,0,5.099999999999999,0,0,0,0,0,0,4.799999999999999,0,0,0,0,0,0,0.39999999999999997,0,0,0,0,0,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000002,0,0.8999999999999999,0,0,0,0,0,3.0999999999999996,0,13.5,7.8999999999999995,0,4.799999999999999,0,5.3999999999999995,0,0.8999999999999999,0,5,0.10000000000000002,0,0,0,0,0.20000000000000004,0
240,46.8,36.9,98.8,45,16.9,48.8,0,27.2,45,48.6,1.2,44.4,0.6,0,0.1,0,5.5,0,0.20000000000000004,0,0,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.4000000000000001,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,3.2000000000000006,0,13.1,7.1,0,5,0,5.2,0,1.2,0,5,0,0,0,0.20000000000000004,0,0.39999999999999997,0
300,46.9,35.2,98.4,45,15.200000000000001,48.4,0,27,45,48.4,1.6,44.5,1.1,0,0.09999999999999999,0,5.7,0,0,0,0.09999999999999999,0,0,5,0,0,0,0,0,0,0.39999999999999997,0,0,0,0,0,0,1.3,0,0.8999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,3.0999999999999996,0,14.799999999999999,8.200000000000001,0,5,0,5.4,0,1.6,0,5,0,0,0,0,0,0.09999999999999999,0
360,46.8,34.699999999999996,98,45,14.700000000000001,48,0,26.7,45,47.800000000000004,2,44.5,1.4999999999999998,0,0.09999999999999999,0,6.1,0,0.19999999999999998,0,0,0,0,5,0,0,0,0,0,0,0.39999999999999997,0,0,0,0,0,0,1.1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.2,0,15.299999999999999,8.4,0,5,0,5.199999999999999,0,2,0,5,0,0,0,0.19999999999999998,0,0.3,0
420,46.8,35.599999999999994,97.6,45,15.6,47.60000000000001,0,26.200000000000003,45,47.4,2.4,44.5,1.9000000000000001,0,0,0,6.5,0,0.19999999999999998,0,0.09999999999999999,0,0,5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,3.2000000000000006,0,14.4,7.1,0,5,0,5.1,0,2.4,0,5,0,0,0,0.19999999999999998,0,0.4,0
480,46.4,34.7,97.1,45,14.699999999999998,47.2,0,26.6,45,47.1,2.9,44.6,2.4,0,0.1,0,6.7,0,0.10000000000000002,0,0,0,0,5,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.5,0,0.8999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,3.5999999999999996,0,15.300000000000002,7.699999999999999,0,5,0,5.1,0,2.8000000000000003,0,5,0,0,0,0,0,0.30000000000000004,0
540,46.6,34,96.6,45,14,46.800000000000004,0,25.9,45,46.599999999999994,3.4,44.7,2.9,0,0,0,7.2,0,0.20000000000000004,0,0,0,0,5,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.7,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,3.4000000000000004,0,16,8.4,0,5,0,4.5,0,3.2,0,5,0,0,0,0,0,0.7999999999999999,0
